sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oNumDays
17-501065,2,3860,OH,Title Only,Refinance,165374.00,0.00,24.00,307.00,1.00,4.00,45.00
2301-200578,1,3863,FL,Title and Escrow,Reverse Mortgage,75875.00,1.00,75.00,1180.00,29.00,25.00,50.00
17-501066,2,3860,IA,Title Only,Refinance,60850.00,2.00,31.00,424.00,23.00,4.00,45.00
17-501068,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,599032.03,2.00,22.00,475.00,16.00,8.00,89.00
17-501069,2,3863,CA,LCP - Title Only,Refinance,35000.00,1.00,50.00,824.00,4.00,17.00,56.00
17-501070,2,3860,CA,TSG - Trustee Sale Guarantee,TSG,207879.48,2.00,33.00,588.00,14.00,14.00,89.00
17-501071,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,368061.37,2.00,22.00,470.00,17.00,7.00,89.00
17-501072,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,544208.74,4.00,22.00,531.00,25.00,9.00,89.00
17-501073,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,190346.80,4.00,18.00,427.00,17.00,5.00,89.00
17-501074,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,212774.62,1.00,42.00,712.00,17.00,15.00,89.00
17-501075,2,3863,CA,LCP - Title Only,Refinance,32900.00,1.00,46.00,648.00,4.00,15.00,35.00
2301-200580,1,3860,MI,Title and Escrow,Reverse Mortgage,47790.00,0.00,87.00,1241.00,22.00,50.00,26.00
2301-200581,1,3863,TX,Title and Escrow,Reverse Mortgage,190950.00,1.00,81.00,1609.00,6.00,44.00,35.00
2301-200582,1,3860,CO,Title and Escrow,Reverse Mortgage,228774.00,1.00,82.00,1530.00,21.00,39.00,69.00
17-501076,2,3860,OH,Title & Sub-Escrow,Refinance,66637.00,1.00,43.00,604.00,23.00,19.00,45.00
17-501077,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,515455.36,2.00,22.00,473.00,19.00,6.00,89.00
17-501078,2,3863,CA,Title Only,Refinance,263900.00,1.00,34.00,436.00,20.00,6.00,45.00
2301-200583,1,3860,UT,Title and Escrow,Reverse Mortgage,209095.00,1.00,80.00,1412.00,20.00,53.00,117.00
17-501079,2,3863,CA,Title Only,Refinance,158500.00,2.00,55.00,918.00,19.00,27.00,78.00
17-501080,2,3863,CA,Title Only,Refinance,665500.00,2.00,56.00,1085.00,20.00,21.00,92.00
17-501081,2,3863,CA,Title Only,Refinance,134200.00,1.00,48.00,636.00,18.00,14.00,55.00
17-501082,2,3863,CA,Title Only,Refinance,120537.00,2.00,34.00,471.00,21.00,5.00,45.00
17-501084,2,3860,WA,Property Report / O&E & Full Escrow,Uninsured (Info Products),119150.00,2.00,98.00,1105.00,7.00,34.00,37.00
17-501086,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),250000.00,1.00,39.00,575.00,6.00,11.00,51.00
17-501087,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),120000.00,2.00,40.00,556.00,7.00,16.00,43.00
17-501088,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),70000.00,1.00,45.00,549.00,6.00,10.00,21.00
17-501089,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),35000.00,0.00,57.00,1056.00,6.00,23.00,45.00
17-501090,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),30000.00,1.00,41.00,571.00,4.00,15.00,61.00
17-501091,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),26700.00,1.00,43.00,548.00,5.00,10.00,30.00
17-501092,2,3863,CA,Title Only,Refinance,126050.00,2.00,56.00,808.00,22.00,26.00,45.00
17-501093,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),20000.00,3.00,41.00,505.00,8.00,14.00,37.00
17-501094,2,3863,CA,Title Only,Refinance,70000.00,1.00,64.00,983.00,20.00,30.00,48.00
17-501095,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),93000.00,1.00,42.00,662.00,4.00,17.00,50.00
17-501096,2,3860,OR,Property Report / O&E & Full Escrow,Uninsured (Info Products),71800.00,2.00,70.00,832.00,6.00,23.00,37.00
17-501097,2,3860,MA,Property Report / O&E & Full Escrow,Uninsured (Info Products),25000.00,1.00,84.00,977.00,5.00,23.00,28.00
17-501098,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),75000.00,1.00,43.00,571.00,5.00,11.00,29.00
17-501099,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,1.00,44.00,562.00,5.00,14.00,37.00
2301-200585,1,3860,KS,Title and Escrow,Reverse Mortgage,150000.00,1.00,47.00,729.00,30.00,9.00,45.00
17-501100,2,3863,CA,Title Only,Refinance,300000.00,1.00,32.00,392.00,20.00,3.00,45.00
17-501101,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),10000.00,3.00,27.00,305.00,13.00,4.00,184.00
17-501102,2,3863,CA,Title & Full Escrow,Refinance,335000.00,2.00,83.00,1147.00,20.00,22.00,33.00
17-501103,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),102900.00,2.00,39.00,548.00,7.00,12.00,43.00
17-501104,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,34.00,541.00,5.00,16.00,30.00
2301-200587,1,3860,CA,Title and Escrow,Reverse Mortgage,210000.00,2.00,59.00,645.00,18.00,18.00,45.00
17-501105,2,3863,CA,Title Only,Refinance,126800.00,1.00,32.00,397.00,20.00,3.00,45.00
17-501106,2,3860,LA,Title & Sub-Escrow,Refinance,380061.00,1.00,120.00,1621.00,21.00,48.00,134.00
2301-200588,1,3863,CA,Title and Escrow,Reverse Mortgage,208285.00,0.00,92.00,1429.00,15.00,60.00,22.00
17-501107,2,3860,CA,Title Only,Refinance,210000.00,1.00,29.00,375.00,19.00,7.00,45.00
17-501108,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,70.00,1005.00,6.00,25.00,56.00
2301-200589,1,3863,CA,Title and Escrow,Reverse Mortgage,375000.00,3.00,63.00,766.00,22.00,19.00,45.00
17-501111,2,3863,CA,Title & Full Escrow,Refinance,135400.00,2.00,76.00,1082.00,19.00,18.00,117.00
2301-200595,1,3863,CA,Title and Escrow,Reverse Mortgage,221430.00,0.00,94.00,1385.00,16.00,40.00,26.00
2301-200596,1,3860,NC,Title and Escrow,Reverse Mortgage,119475.00,1.00,74.00,1224.00,21.00,30.00,28.00
17-501117,2,3863,CA,Legal & Vesting - Title Only,Uninsured (Info Products),36074.20,0.00,38.00,629.00,0.00,8.00,40.00
17-501118,2,3860,OH,Title Only,Refinance,97224.00,1.00,59.00,871.00,23.00,22.00,48.00
17-501121,2,3863,CA,Title & Full Escrow,Refinance,451600.00,2.00,73.00,988.00,22.00,21.00,62.00
17-501122,2,3863,CA,Title Only,Refinance,139750.00,2.00,53.00,780.00,20.00,23.00,47.00
17-501123,2,3863,CA,Title & Full Escrow,Refinance,275000.00,2.00,87.00,1508.00,21.00,26.00,36.00
17-501124,2,3863,FL,Title Only,Refinance,85735.00,1.00,46.00,569.00,32.00,14.00,45.00
2301-200597,1,3863,CA,Title and Escrow,Reverse Mortgage,231440.00,1.00,86.00,1617.00,17.00,48.00,26.00
17-501125,2,3860,MI,Title & Sub-Escrow,Refinance,54832.00,1.00,63.00,1009.00,24.00,30.00,57.00
17-501126,2,3863,CA,LCP - Title Only,Refinance,20000.00,1.00,37.00,556.00,4.00,16.00,40.00
2301-200598,1,3863,CA,Title and Escrow,Reverse Mortgage,128934.00,2.00,107.00,1670.00,20.00,44.00,29.00
17-501127,2,3860,KY,Title Only,Refinance,68884.00,1.00,90.00,1210.00,19.00,45.00,103.00
17-501128,2,3863,CA,Title Only,Refinance,50000.00,1.00,47.00,663.00,19.00,18.00,23.00
17-501129,2,3860,UT,Title & Sub-Escrow,Refinance,184700.00,3.00,34.00,413.00,25.00,5.00,45.00
2301-200599,1,3860,MD,Title and Escrow,Reverse Mortgage,600000.00,4.00,74.00,909.00,28.00,27.00,45.00
17-501131,2,3863,CA,Title & Full Escrow,Refinance,149600.00,1.00,72.00,1151.00,18.00,21.00,41.00
17-501132,2,3863,CA,LCP - Title Only,Refinance,30000.00,1.00,46.00,688.00,4.00,9.00,56.00
17-501134,2,3863,CA,Title & Full Escrow,Refinance,390000.00,1.00,84.00,1475.00,20.00,26.00,37.00
2301-200600,1,3863,CA,Title and Escrow,Reverse Mortgage,625500.00,1.00,64.00,1134.00,16.00,27.00,35.00
17-501135,2,3863,CA,Title & Full Escrow,Refinance,165000.00,1.00,48.00,454.00,20.00,6.00,45.00
17-501136,2,3863,CA,LCP & Sub-Escrow,Refinance,35000.00,1.00,52.00,1122.00,4.00,16.00,89.00
17-501137,2,3863,CA,LCP & Sub-Escrow,Refinance,64000.00,1.00,52.00,728.00,4.00,21.00,22.00
17-501138,2,3863,FL,Reverse Mortgage - Title & Full Escrow,Refinance,230285.00,1.00,117.00,1803.00,31.00,35.00,189.00
17-501139,2,3863,CA,LCP & Sub-Escrow,Refinance,200000.00,1.00,47.00,740.00,6.00,23.00,16.00
2301-200602,1,3863,CA,Title and Escrow,Reverse Mortgage,268055.73,1.00,91.00,1408.00,16.00,52.00,34.00
17-501140,2,3863,CA,LCP - Title Only,Refinance,100000.00,1.00,35.00,378.00,4.00,6.00,45.00
17-501141,2,3863,CA,LCP - Title Only,Refinance,100000.00,0.00,20.00,205.00,0.00,4.00,45.00
17-501142,2,3863,CA,Legal & Vesting - Title Only,Uninsured (Info Products),16414.95,0.00,43.00,605.00,0.00,13.00,27.00
2301-200604,1,3863,CA,Title and Escrow,Reverse Mortgage,2500000.00,0.00,39.00,349.00,2.00,6.00,45.00
17-501144,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),129000.00,1.00,28.00,329.00,8.00,7.00,184.00
2301-200605,1,3863,CA,Title and Escrow,Reverse Mortgage,35340.00,1.00,84.00,1513.00,18.00,52.00,43.00
2301-200606,1,3860,IL,Title and Escrow,Reverse Mortgage,97660.00,0.00,94.00,1291.00,22.00,38.00,26.00
17-501145,2,3863,CA,LCP - Title Only,Refinance,95000.00,1.00,45.00,699.00,4.00,15.00,37.00
17-501146,2,3863,CA,Title Only,Refinance,120000.00,2.00,56.00,1026.00,20.00,24.00,43.00
17-501147,2,3863,CA,LCP & Sub-Escrow,Refinance,35000.00,1.00,49.00,768.00,4.00,23.00,22.00
2301-200608,1,3863,CA,Title and Escrow,Reverse Mortgage,183768.00,1.00,62.00,836.00,16.00,18.00,45.00
2301-200609,1,3860,CO,Title and Escrow,Reverse Mortgage,280750.00,2.00,50.00,627.00,24.00,10.00,45.00
17-501148,2,3863,CA,Legal & Vesting - Title Only,Uninsured (Info Products),34993.65,0.00,38.00,531.00,0.00,9.00,33.00
2301-200610,1,3860,IL,Title Only,Reverse Mortgage,225000.00,2.00,43.00,535.00,24.00,7.00,45.00
17-501149,2,3863,CA,Title Only,Refinance,143024.00,2.00,70.00,1035.00,20.00,43.00,47.00
17-501150,2,3860,GA,Title Only,Refinance,66391.00,1.00,92.00,1224.00,23.00,44.00,106.00
17-501151,2,3860,IN,Title & Sub-Escrow,Refinance,42767.00,1.00,84.00,1619.00,27.00,44.00,88.00
17-501152,2,3860,CA,Title Only,Refinance,233000.00,2.00,64.00,910.00,20.00,30.00,105.00
17-501154,2,3863,CA,Title Only,Refinance,121500.00,1.00,37.00,435.00,18.00,9.00,45.00
17-501155,2,3863,CA,Title Only,Refinance,81279.00,1.00,72.00,905.00,21.00,26.00,36.00
17-501157,2,3860,OH,Title Only,Refinance,71946.00,2.00,92.00,1274.00,27.00,35.00,105.00
2301-200611,1,3860,SC,Title and Escrow,Reverse Mortgage,90000.00,0.00,48.00,271.00,1.00,5.00,45.00
2301-200612,1,3863,CA,Title and Escrow,Reverse Mortgage,98975.00,1.00,71.00,1143.00,18.00,37.00,29.00
17-501158,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),1.00,0.00,19.00,243.00,0.00,6.00,45.00
17-501160,2,3863,FL,Title Only,Refinance,66113.00,1.00,63.00,1255.00,33.00,29.00,36.00
17-501161,2,3863,CA,Title & Sub-Escrow,Refinance,366842.00,1.00,66.00,1122.00,18.00,37.00,63.00
17-501162,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,190000.00,2.00,28.00,535.00,17.00,12.00,88.00
17-501163,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,59794.46,4.00,28.00,630.00,16.00,19.00,88.00
17-501164,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,188000.00,2.00,34.00,633.00,16.00,12.00,88.00
17-501165,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,227220.22,5.00,23.00,530.00,17.00,9.00,88.00
17-501166,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,160038.88,3.00,36.00,724.00,18.00,18.00,88.00
17-501167,2,3860,CA,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,2.00,44.00,777.00,8.00,19.00,15.00
17-501168,2,3863,CA,LCP - Title Only,Refinance,350000.00,1.00,50.00,728.00,5.00,15.00,41.00
2301-200615,1,3860,UT,Title and Escrow,Reverse Mortgage,59850.00,1.00,101.00,1635.00,23.00,53.00,53.00
17-501170,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,552000.00,3.00,14.00,390.00,16.00,3.00,88.00
17-501171,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,317816.63,2.00,18.00,466.00,23.00,8.00,88.00
17-501172,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,325957.86,4.00,22.00,522.00,22.00,8.00,88.00
17-501173,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,367852.80,10.00,18.00,499.00,28.00,7.00,88.00
17-501174,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,531999.99,5.00,18.00,430.00,18.00,5.00,88.00
17-501175,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),80000.00,3.00,26.00,318.00,11.00,5.00,183.00
2301-200617,1,3863,CA,Title and Escrow,Reverse Mortgage,208650.00,1.00,73.00,1103.00,16.00,26.00,25.00
2301-200618,1,3863,CA,Title and Escrow,Reverse Mortgage,384057.00,1.00,83.00,1482.00,18.00,57.00,19.00
17-501177,2,3860,UT,Title & Sub-Escrow,Refinance,109184.00,1.00,69.00,1313.00,22.00,30.00,36.00
17-501179,2,3860,CA,Title & Full Escrow,Refinance,165600.00,1.00,65.00,1063.00,18.00,21.00,32.00
17-501180,2,3863,CA,Title Only,Refinance,85000.00,0.00,33.00,401.00,19.00,4.00,45.00
17-501181,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),129000.00,2.00,27.00,316.00,10.00,4.00,183.00
17-501182,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,1.00,43.00,587.00,5.00,13.00,29.00
17-501183,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,38.00,538.00,6.00,10.00,47.00
17-501184,2,3860,CO,Title & Full Escrow,Refinance,85000.00,1.00,77.00,1131.00,20.00,29.00,41.00
17-501185,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,1.00,40.00,545.00,5.00,12.00,42.00
17-501186,2,3863,CA,LCP - Title Only,Refinance,100.00,0.00,32.00,344.00,5.00,4.00,208.00
2301-200620,1,3863,AZ,Title and Escrow,Reverse Mortgage,58170.00,0.00,88.00,1851.00,19.00,60.00,95.00
17-501187,2,3863,CA,Title & Full Escrow,Refinance,185000.00,0.00,41.00,323.00,1.00,6.00,45.00
2301-200621,1,3863,CA,Title and Escrow,Reverse Mortgage,184000.00,20.00,68.00,2107.00,37.00,70.00,74.00
17-501188,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,2.00,44.00,593.00,8.00,14.00,32.00
2301-200622,1,3863,NV,Title and Escrow,Reverse Mortgage,240745.00,1.00,75.00,1402.00,20.00,40.00,35.00
17-501189,2,3863,CA,Title & Full Escrow,Refinance,200000.00,1.00,79.00,1164.00,19.00,23.00,19.00
17-501190,2,3863,CA,Title & Full Escrow,Refinance,100000.00,0.00,38.00,220.00,1.00,3.00,45.00
17-501191,2,3863,CA,Title & Full Escrow,Refinance,100000.00,0.00,37.00,221.00,1.00,2.00,45.00
17-501192,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,1.00,27.00,319.00,6.00,5.00,183.00
17-501194,2,3863,CA,Title & Sub-Escrow,Refinance,522750.00,1.00,39.00,456.00,20.00,6.00,45.00
17-501195,2,3860,PA,Reverse Mortgage - Title & Sub-Escrow,Refinance,186000.00,1.00,55.00,1187.00,27.00,26.00,69.00
17-501197,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),325000.00,3.00,42.00,565.00,9.00,13.00,33.00
17-501199,2,3863,CA,Title & Sub-Escrow,Refinance,429000.00,1.00,71.00,1100.00,19.00,28.00,49.00
17-501200,2,3863,CA,Title Only,Refinance,230000.00,1.00,33.00,391.00,18.00,7.00,45.00
17-501201,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),55000.00,1.00,42.00,592.00,5.00,9.00,25.00
17-501202,2,3863,CA,Title Only,Refinance,100000.00,1.00,56.00,803.00,20.00,25.00,42.00
2301-200623,1,29189,VT,Title and Escrow,Reverse Mortgage,170000.00,0.00,49.00,368.00,2.00,6.00,45.00
17-501203,2,3863,CA,Title & Full Escrow,Refinance,100000.00,0.00,43.00,237.00,1.00,4.00,45.00
17-501204,2,3860,AL,Reverse Mortgage - Title Only,Refinance,80000.00,10.00,33.00,728.00,34.00,9.00,45.00
17-501205,2,3860,CA,Property Report / O&E - Title Only,Uninsured (Info Products),98000.00,1.00,37.00,580.00,6.00,14.00,15.00
17-501206,2,3860,MO,Title Only,Refinance,65000.00,0.00,37.00,567.00,24.00,10.00,45.00
17-501207,2,3863,AZ,Title & Sub-Escrow,Refinance,537370.00,2.00,79.00,1061.00,23.00,33.00,82.00
17-501208,2,3863,CA,LCP - Title Only,Refinance,75000.00,0.00,25.00,216.00,0.00,3.00,45.00
17-501209,2,3860,MN,Reverse Mortgage - Title & Sub-Escrow,Refinance,78000.00,0.00,94.00,1443.00,21.00,43.00,41.00
17-501210,2,3863,CA,Title & Full Escrow,Refinance,110000.00,1.00,84.00,1135.00,20.00,34.00,36.00
17-501211,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,171353.49,2.00,22.00,473.00,16.00,6.00,88.00
17-501212,2,3863,CA,Title & Full Escrow,Refinance,435500.00,2.00,47.00,430.00,19.00,4.00,45.00
17-501213,2,3863,CA,LCP & Sub-Escrow,Refinance,250000.00,1.00,44.00,690.00,4.00,18.00,49.00
17-501214,2,3863,CA,LCP & Sub-Escrow,Refinance,42500.00,1.00,55.00,795.00,4.00,17.00,88.00
2301-200624,1,3860,CO,Title and Escrow,Reverse Mortgage,62116.00,0.00,82.00,1501.00,23.00,44.00,47.00
17-501215,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),75000.00,1.00,27.00,312.00,5.00,5.00,183.00
17-501216,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),33000.00,1.00,27.00,309.00,4.00,5.00,183.00
2301-200625,1,3863,CA,Title and Escrow,Reverse Mortgage,285000.00,1.00,61.00,898.00,19.00,24.00,45.00
17-501217,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,41.00,583.00,6.00,13.00,43.00
17-501218,2,3863,CA,Title Only,Refinance,100000.00,2.00,53.00,761.00,21.00,23.00,33.00
2301-200626,1,3860,NC,Title and Escrow,Reverse Mortgage,23294.40,0.00,70.00,1147.00,18.00,28.00,29.00
17-501220,2,3863,CA,Property Report / O&E & Full Escrow,Uninsured (Info Products),52000.00,2.00,71.00,898.00,7.00,21.00,32.00
17-501221,2,3860,NC,Reverse Mortgage - Title & Sub-Escrow,Refinance,135000.00,0.00,35.00,608.00,2.00,10.00,45.00
17-501222,2,3863,CA,Title & Sub-Escrow,Refinance,118000.00,1.00,40.00,465.00,18.00,10.00,45.00
2301-200628,1,3860,NJ,Title and Escrow,Reverse Mortgage,149450.00,0.00,96.00,1341.00,10.00,37.00,34.00
2301-200629,1,3863,FL,Title and Escrow,Reverse Mortgage,625500.00,1.00,53.00,567.00,30.00,11.00,45.00
17-501224,2,3863,CA,Stand Alone Modification,Refinance,10000.00,2.00,48.00,1168.00,26.00,36.00,71.00
17-501225,2,3860,UT,Title & Sub-Escrow,Refinance,238500.00,1.00,60.00,857.00,22.00,23.00,55.00
17-501226,2,3863,CA,Title & Full Escrow,Refinance,170000.00,1.00,98.00,1002.00,20.00,17.00,34.00
17-501228,2,3863,CA,Title & Full Escrow,Refinance,134600.00,1.00,70.00,823.00,18.00,15.00,32.00
17-501229,2,3860,UT,Title & Full Escrow,Refinance,121500.00,1.00,67.00,988.00,21.00,18.00,29.00
17-501230,2,3860,NJ,Title Only,Refinance,79558.00,1.00,75.00,959.00,13.00,33.00,91.00
17-501231,2,3863,NV,Title & Full Escrow,Refinance,367500.00,2.00,75.00,1105.00,23.00,19.00,85.00
2301-200630,1,3860,TN,Title and Escrow,Reverse Mortgage,96900.00,0.00,91.00,1558.00,19.00,57.00,34.00
2301-200631,1,3860,OH,Title and Escrow,Reverse Mortgage,201250.00,1.00,79.00,1572.00,23.00,40.00,49.00
17-501232,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),45000.00,1.00,40.00,521.00,6.00,10.00,88.00
17-501233,2,3860,CA,Title Only,Refinance,92000.00,1.00,45.00,653.00,20.00,18.00,47.00
2301-200632,1,3863,NV,Title and Escrow,Reverse Mortgage,119020.00,1.00,71.00,1353.00,19.00,41.00,39.00
17-501234,2,3863,CA,Title & Sub-Escrow,Refinance,140000.00,2.00,61.00,798.00,20.00,25.00,22.00
17-501235,2,3863,CA,Title & Full Escrow,Refinance,280000.00,3.00,50.00,440.00,22.00,5.00,45.00
17-501236,2,3863,CA,LCP - Title Only,Refinance,12000.00,1.00,48.00,683.00,4.00,21.00,28.00
2301-200634,1,3863,TX,Title and Escrow,Reverse Mortgage,78500.00,1.00,60.00,676.00,8.00,12.00,45.00
17-501238,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,1.00,27.00,331.00,4.00,5.00,183.00
17-501239,2,3863,CA,Title & Sub-Escrow,Refinance,250000.00,0.00,63.00,934.00,21.00,22.00,25.00
17-501240,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),25800.00,2.00,44.00,612.00,5.00,12.00,84.00
17-501241,2,3863,NV,Title & Sub-Escrow,Refinance,188000.00,2.00,58.00,793.00,22.00,24.00,36.00
17-501242,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),334600.00,1.00,40.00,569.00,4.00,14.00,42.00
17-501243,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),10000.00,1.00,53.00,730.00,5.00,18.00,69.00
17-501244,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),30000.00,1.00,44.00,610.00,4.00,14.00,39.00
17-501245,2,3863,CA,LCP & Sub-Escrow,Refinance,44000.00,2.00,45.00,716.00,5.00,21.00,45.00
2301-200635,1,3863,CA,Title and Escrow,Reverse Mortgage,173120.00,0.00,79.00,1181.00,14.00,29.00,32.00
17-501247,2,3863,CA,Title & Sub-Escrow,Refinance,91000.00,2.00,68.00,1070.00,20.00,33.00,36.00
17-501248,2,3863,CA,LCP - Title Only,Refinance,30000.00,2.00,47.00,645.00,5.00,21.00,36.00
17-501249,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),55000.00,1.00,27.00,312.00,4.00,5.00,183.00
17-501250,2,3863,CA,LCP - Title Only,Refinance,80000.00,1.00,45.00,637.00,4.00,10.00,46.00
17-501251,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),209000.00,1.00,47.00,588.00,6.00,14.00,29.00
2301-200636,1,3860,NH,Title and Escrow,Reverse Mortgage,374000.00,3.00,49.00,509.00,24.00,7.00,45.00
17-501252,2,3863,CA,LCP - Title Only,Refinance,75000.00,1.00,33.00,364.00,4.00,4.00,45.00
17-501254,2,3863,CA,LCP - Title Only,Refinance,50000.00,2.00,45.00,657.00,5.00,13.00,34.00
2301-200637,1,3863,CA,Title and Escrow,Reverse Mortgage,344650.50,0.00,70.00,1308.00,16.00,32.00,46.00
17-501256,2,3863,CA,Title & Full Escrow,Refinance,367000.00,1.00,102.00,1460.00,19.00,35.00,50.00
17-501257,2,3860,CO,Title Only,Refinance,275793.00,3.00,68.00,1182.00,27.00,45.00,40.00
17-501258,2,3863,CA,LCP - Title Only,Refinance,65000.00,1.00,47.00,630.00,4.00,16.00,35.00
2301-200638,1,3863,CA,Title and Escrow,Reverse Mortgage,94850.00,1.00,77.00,1225.00,20.00,29.00,42.00
17-501259,2,3863,CA,Title Only,Refinance,50000.00,0.00,54.00,764.00,19.00,19.00,27.00
17-501260,2,3863,CA,Title Only,Refinance,217180.00,1.00,52.00,713.00,18.00,19.00,60.00
17-501261,2,3860,UT,Title & Sub-Escrow,Refinance,120600.00,2.00,48.00,932.00,23.00,29.00,33.00
17-501262,2,3860,UT,Title & Sub-Escrow,Refinance,292000.00,1.00,49.00,1132.00,22.00,30.00,33.00
17-501263,2,3863,CA,Title Only,Refinance,172975.00,1.00,59.00,929.00,18.00,31.00,38.00
17-501264,2,3863,CA,Title & Sub-Escrow,Refinance,45500.00,0.00,89.00,1068.00,17.00,36.00,81.00
17-501265,2,3863,CA,Title Only,Refinance,176000.00,1.00,67.00,972.00,20.00,34.00,49.00
2301-200639,1,3860,IL,Title and Escrow,Reverse Mortgage,125580.00,0.00,97.00,1569.00,21.00,35.00,35.00
17-501266,2,3860,PA,Title Only,Refinance,63390.00,1.00,59.00,928.00,25.00,24.00,54.00
2301-200640,1,3860,OH,Title and Escrow,Reverse Mortgage,62000.00,2.00,54.00,474.00,23.00,7.00,45.00
2301-200641,1,3860,GA,Title and Escrow,Reverse Mortgage,120000.00,1.00,50.00,543.00,21.00,10.00,45.00
2301-200642,1,3863,NV,Title and Escrow,Reverse Mortgage,119853.00,2.00,66.00,1138.00,21.00,21.00,40.00
17-501268,2,3863,CA,Title Only,Refinance,550000.00,1.00,47.00,662.00,19.00,20.00,48.00
2301-200643,1,3860,IN,Title and Escrow,Reverse Mortgage,55000.00,0.00,51.00,465.00,1.00,11.00,45.00
17-501269,2,3863,FL,Title Only,Refinance,182732.00,1.00,54.00,978.00,32.00,32.00,42.00
17-501270,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,105928.82,2.00,30.00,508.00,19.00,12.00,87.00
17-501271,2,3860,UT,TSG - Trustee Sale Guarantee,TSG,110070.38,3.00,24.00,433.00,12.00,10.00,87.00
17-501272,2,3863,CA,LCP - Title Only,Refinance,100.00,3.00,32.00,347.00,7.00,4.00,207.00
2301-200644,1,3860,OH,Title and Escrow,Reverse Mortgage,44000.00,2.00,54.00,480.00,21.00,8.00,45.00
17-501273,2,3863,CA,LCP - Title Only,Refinance,15000.00,1.00,45.00,642.00,4.00,14.00,33.00
17-501274,2,3863,CA,Title & Sub-Escrow,Refinance,125250.00,1.00,86.00,1305.00,19.00,51.00,53.00
17-501276,2,3863,CA,LCP - Title Only,Refinance,100.00,1.00,32.00,351.00,7.00,4.00,207.00
17-501278,2,3863,CA,LCP - Title Only,Refinance,25000.00,0.00,21.00,197.00,0.00,3.00,45.00
17-501279,2,3863,CA,Title Only,Refinance,405000.00,1.00,67.00,849.00,18.00,29.00,45.00
