"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0511590727418066,0.1,0.014264129591869,0.0111806797884615,0,0.169291338582677
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0127897681854516,0.05,0.00840430232561018,0.002991453,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0287609912070344,0.05,0.00764744966795769,0.00427350426923077,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00959232613908873,0.05,0.00732541628562899,0.00423076923076923,0,0.196850393700787
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0161960911270983,0.1,0.0268616426624874,0.0254524886923077,0,0.133858267716535
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0139741007194245,0,0.0268621462855991,0.0246548323461538,0,0.153543307086614
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00799360511590727,0.05,0.0128599588841575,0.00795755967307692,0,0.114173228346457
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00399680255795364,0.05,0.0264400354767718,0.0187835420384615,0,0.169291338582677
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0368538768984812,0.1,0.00815201810639268,0.00598290598076923,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0134292565947242,0.05,0.00159284668282036,0.00254524886538462,0,0.803149606299213
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0399680255795364,0,0.00723192272258659,0.00427350426923077,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00799360511590727,0,0.0160952000824407,0.0154476670961538,0,0.240157480314961
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00951239008792966,0.1,0.010838103011365,0.00824175825,0,0.137795275590551
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.045624620303757,0,0.023848806616536,0.0183946488269231,0,0.181102362204724
