sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-207167,1,3860,WI,Title and Escrow,Reverse Mortgage,114211.0000000,0.0000000,114211.0000000,0.0000000,85.0000000,37.312500000000000,19.0000000,1.531250000000000,0.0000000,32.0000000
2301-207173,1,3863,NV,Title and Escrow,Reverse Mortgage,107600.0000000,0.0000000,107600.0000000,0.0000000,84.0000000,46.970588235294100,23.0000000,1.411764705882350,0.0000000,34.0000000
17-513369,2,3863,CA,Title & Full Escrow,Refinance,45900.0000000,75500.0000000,-29600.0000000,1.0000000,40.0000000,7.244444444444440,16.0000000,0.088888888888889,1.0000000,45.0000000
17-513371,2,3863,CA,Title Only,Refinance,302351.0000000,303038.0000000,-687.0000000,1.0000000,44.0000000,21.838709677419400,20.0000000,0.580645161290323,0.0000000,31.0000000
17-513373,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),187450.0000000,664000.0000000,-476550.0000000,2.0000000,32.0000000,15.562500000000000,8.0000000,0.250000000000000,0.0000000,32.0000000
17-513385,2,3863,CA,LCP - Title Only,Refinance,15827.0000000,196000.0000000,-180173.0000000,1.0000000,34.0000000,18.485714285714300,4.0000000,0.314285714285714,0.0000000,35.0000000
2301-207188,1,3863,TX,Title and Escrow,Reverse Mortgage,97652.5000000,116621.2500000,-18968.7500000,1.0000000,80.0000000,52.000000000000000,7.0000000,1.428571428571430,0.0000000,28.0000000
2301-207189,1,3863,CA,Title and Escrow,Reverse Mortgage,173545.0000000,330000.0000000,-156455.0000000,1.0000000,66.0000000,35.032258064516100,16.0000000,0.548387096774194,0.0000000,31.0000000
17-513392,2,3863,CA,LCP - Title Only,Refinance,51960.0000000,187475.0000000,-135515.0000000,1.0000000,33.0000000,18.096774193548400,4.0000000,0.419354838709677,0.0000000,31.0000000
17-513398,2,3863,CA,Title Only,Refinance,466000.0000000,514000.0000000,-48000.0000000,2.0000000,50.0000000,18.400000000000000,20.0000000,0.571428571428571,0.0000000,35.0000000
2301-207190,1,3860,SC,Title and Escrow,Reverse Mortgage,166717.0000000,0.0000000,166717.0000000,0.0000000,74.0000000,25.435897435897400,20.0000000,1.307692307692310,0.0000000,39.0000000
17-513404,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),210000.0000000,835200.0000000,-625200.0000000,1.0000000,37.0000000,15.281250000000000,4.0000000,0.281250000000000,0.0000000,32.0000000
17-513407,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),150000.0000000,248000.0000000,-98000.0000000,1.0000000,37.0000000,20.583333333333300,4.0000000,0.375000000000000,0.0000000,24.0000000
