sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-201472,3863,Title and Escrow,268690.00,1.00,65.00,1102.00,17.00,41.00,0.00,34.00
17-502969,3863,Title & Full Escrow,110300.00,1.00,67.00,922.00,19.00,16.00,0.00,28.00
17-502970,3863,Title & Full Escrow,99750.00,1.00,65.00,842.00,21.00,17.00,0.00,30.00
2301-201473,3863,Title and Escrow,130460.00,0.00,104.00,1166.00,31.00,32.00,1.00,45.00
2301-201474,3863,Title and Escrow,44710.00,0.00,81.00,1256.00,26.00,30.00,0.00,49.00
2301-201475,3863,Title and Escrow,299000.00,1.00,73.00,1792.00,18.00,44.00,0.00,58.00
2301-201476,3860,Title and Escrow,150000.00,1.00,51.00,546.00,21.00,14.00,1.00,45.00
2301-201477,3863,Title and Escrow,304700.00,2.00,93.00,1480.00,29.00,48.00,0.00,23.00
17-502971,3863,LCP - Title Only,50000.00,0.00,43.00,637.00,4.00,10.00,0.00,15.00
2301-201479,3863,Title and Escrow,154012.00,1.00,80.00,1659.00,27.00,54.00,0.00,42.00
17-502973,3860,Property Report / O&E - Title Only,25400.00,1.00,41.00,559.00,4.00,12.00,0.00,27.00
2301-201480,3863,Title and Escrow,150000.00,2.00,54.00,586.00,30.00,14.00,1.00,45.00
17-502974,3863,Title & Full Escrow,106000.00,1.00,45.00,445.00,18.00,5.00,1.00,45.00
2301-201481,29189,Title and Escrow,126000.00,0.00,50.00,612.00,1.00,17.00,1.00,45.00
2301-201482,29189,Title and Escrow,93186.00,0.00,76.00,1437.00,2.00,60.00,0.00,124.00
2301-201483,3863,Title and Escrow,42588.00,0.00,74.00,1127.00,27.00,31.00,0.00,28.00
17-502975,3863,Property Report / O&E - Title Only,56000.00,1.00,26.00,300.00,6.00,3.00,0.00,156.00
2301-201484,3863,Title and Escrow,650000.00,1.00,57.00,621.00,34.00,9.00,1.00,45.00
2301-201486,29189,Title and Escrow,76920.00,0.00,65.00,1500.00,2.00,50.00,0.00,47.00
17-502976,3863,Title & Full Escrow,110000.00,2.00,65.00,885.00,19.00,18.00,0.00,28.00
17-502977,3863,Title Only,124000.00,1.00,35.00,551.00,18.00,14.00,0.00,22.00
17-502978,3863,LCP - Title Only,18000.00,1.00,30.00,339.00,4.00,5.00,1.00,45.00
17-502979,3863,Title & Full Escrow,68000.00,1.00,45.00,442.00,18.00,5.00,1.00,45.00
2301-201487,3863,Title and Escrow,63648.00,1.00,82.00,1506.00,19.00,45.00,0.00,47.00
17-502980,3863,LCP - Title Only,46400.00,1.00,37.00,604.00,4.00,17.00,0.00,56.00
2301-201488,3863,Title and Escrow,219600.00,1.00,77.00,1570.00,18.00,58.00,0.00,154.00
17-502982,3863,Title Only,112557.00,1.00,49.00,749.00,18.00,17.00,0.00,28.00
2301-201489,3860,Title and Escrow,119025.00,2.00,74.00,1661.00,24.00,43.00,0.00,57.00
2301-201491,3860,Title and Escrow,157820.00,3.00,79.00,1337.00,23.00,45.00,0.00,40.00
2301-201492,3860,Title and Escrow,121260.00,1.00,90.00,1365.00,23.00,45.00,0.00,32.00
17-502983,3863,Title Only,226400.00,1.00,62.00,869.00,18.00,24.00,0.00,41.00
17-502984,3860,Title & Sub-Escrow,168000.00,1.00,57.00,974.00,23.00,30.00,0.00,55.00
2301-201494,3860,Title and Escrow,213500.00,1.00,66.00,891.00,22.00,19.00,1.00,45.00
17-502985,3860,TSG - Trustee Sale Guarantee,81688.94,2.00,19.00,427.00,8.00,8.00,0.00,60.00
17-502986,3860,TSG - Trustee Sale Guarantee,126540.94,2.00,25.00,497.00,10.00,10.00,0.00,60.00
17-502987,3860,TSG - Trustee Sale Guarantee,217209.40,1.00,22.00,490.00,15.00,9.00,0.00,60.00
17-502988,3860,TSG - Trustee Sale Guarantee,79738.20,1.00,30.00,591.00,14.00,13.00,0.00,60.00
17-502989,3860,TSG - Trustee Sale Guarantee,95436.16,1.00,27.00,704.00,20.00,20.00,0.00,60.00
17-502990,3860,TSG - Trustee Sale Guarantee,88737.59,6.00,14.00,412.00,21.00,6.00,0.00,60.00
17-502991,3860,TSG - Trustee Sale Guarantee,82232.24,1.00,14.00,372.00,9.00,4.00,0.00,60.00
17-502994,3863,Title & Sub-Escrow,190170.00,1.00,71.00,1161.00,21.00,31.00,0.00,63.00
17-502995,3863,TSG - Trustee Sale Guarantee,668849.46,4.00,12.00,403.00,13.00,3.00,0.00,60.00
17-502996,3860,TSG - Trustee Sale Guarantee,151831.67,1.00,15.00,429.00,12.00,6.00,0.00,60.00
17-502997,3863,TSG - Trustee Sale Guarantee,647559.15,2.00,12.00,366.00,9.00,3.00,0.00,60.00
17-502998,3860,TSG - Trustee Sale Guarantee,413262.64,1.00,20.00,518.00,10.00,10.00,0.00,60.00
17-502999,3863,TSG - Trustee Sale Guarantee,232331.33,1.00,16.00,449.00,16.00,5.00,0.00,60.00
17-503000,3860,TSG - Trustee Sale Guarantee,318872.78,12.00,27.00,684.00,26.00,13.00,0.00,60.00
2301-201496,3860,Title and Escrow,49400.00,0.00,94.00,1446.00,25.00,41.00,0.00,64.00
2301-201497,3860,Title and Escrow,82460.00,2.00,72.00,1161.00,23.00,37.00,0.00,27.00
17-503001,3860,Title Only,277500.00,0.00,18.00,210.00,2.00,3.00,1.00,45.00
