sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-510581,3863,Title Only,189809.00,1.00,35.00,580.00,22.00,19.00,0.00,41.00
17-510582,3863,Title Only,100000.00,1.00,35.00,603.00,20.00,10.00,0.00,46.00
17-510583,3862,Title Only,175000.00,1.00,37.00,566.00,20.00,10.00,0.00,25.00
17-510584,3860,Title & Full Escrow,100000.00,0.00,97.00,1633.00,22.00,23.00,0.00,34.00
2301-205195,3860,Title and Escrow,81844.00,1.00,100.00,1876.00,23.00,80.00,0.00,63.00
2301-205198,3860,Title and Escrow,550000.00,1.00,49.00,543.00,19.00,8.00,1.00,45.00
17-510586,3863,Title Only,364649.00,1.00,47.00,777.00,17.00,15.00,0.00,70.00
2301-205202,3863,Title and Escrow,65880.00,1.00,73.00,1408.00,7.00,34.00,0.00,52.00
2301-205203,3863,Title and Escrow,334642.50,0.00,80.00,1172.00,13.00,30.00,0.00,41.00
2301-205204,3863,Title and Escrow,366630.00,1.00,81.00,1449.00,20.00,61.00,0.00,59.00
17-510587,3863,Title & Full Escrow,166600.00,1.00,81.00,1216.00,17.00,20.00,0.00,40.00
2301-205206,3863,Title and Escrow,625500.00,1.00,50.00,513.00,20.00,9.00,1.00,45.00
17-510588,3863,Title & Full Escrow,417000.00,2.00,76.00,1200.00,18.00,19.00,0.00,41.00
2301-205207,3860,Title and Escrow,192952.00,2.00,74.00,1077.00,22.00,31.00,0.00,55.00
2301-205208,3863,Title and Escrow,130340.00,0.00,74.00,1090.00,17.00,29.00,0.00,46.00
2301-205209,3860,Title and Escrow,104940.00,0.00,78.00,1179.00,17.00,32.00,0.00,39.00
17-510589,3863,LCP - Title Only,52000.00,1.00,32.00,578.00,3.00,11.00,0.00,28.00
2301-205211,3863,Title and Escrow,41015.00,0.00,89.00,1358.00,28.00,38.00,0.00,41.00
2301-205213,3860,Title and Escrow,400000.00,7.00,64.00,641.00,29.00,21.00,1.00,45.00
2301-205214,3863,Title and Escrow,86790.00,2.00,74.00,1600.00,19.00,51.00,0.00,35.00
2301-205216,3863,Title and Escrow,156768.00,1.00,98.00,2021.00,19.00,70.00,0.00,41.00
17-510591,3863,LCP - Title Only,14000.00,1.00,31.00,510.00,4.00,10.00,0.00,34.00
17-510592,3863,LCP & Sub-Escrow,32000.00,1.00,32.00,574.00,4.00,15.00,0.00,40.00
2301-205217,3860,Title and Escrow,200840.00,0.00,45.00,265.00,1.00,3.00,1.00,45.00
2301-205223,3863,Title and Escrow,94416.00,1.00,85.00,1453.00,22.00,42.00,0.00,59.00
17-510594,3863,Title & Full Escrow,95000.00,1.00,75.00,1176.00,16.00,16.00,0.00,42.00
17-510596,3862,LCP - Title Only,100000.00,1.00,35.00,626.00,4.00,9.00,0.00,48.00
17-510597,3863,LCP - Title Only,35000.00,1.00,37.00,673.00,4.00,13.00,0.00,52.00
17-510598,3863,LCP - Title Only,20000.00,1.00,40.00,720.00,4.00,13.00,0.00,52.00
17-510601,3863,Title & Sub-Escrow,565000.00,2.00,34.00,455.00,21.00,6.00,1.00,45.00
17-510602,3862,Title & Full Escrow,567054.00,1.00,62.00,1033.00,22.00,18.00,0.00,69.00
17-510603,3863,LCP - Title Only,58000.00,1.00,33.00,530.00,4.00,18.00,0.00,82.00
17-510604,3862,Title & Full Escrow,150500.00,1.00,64.00,992.00,17.00,18.00,0.00,45.00
17-510608,3863,LCP & Full Escrow,40000.00,1.00,53.00,847.00,4.00,15.00,0.00,41.00
2301-205224,3860,Title and Escrow,439000.00,0.00,43.00,302.00,2.00,5.00,1.00,45.00
2301-205226,3863,Title and Escrow,337500.00,2.00,90.00,1551.00,19.00,53.00,0.00,46.00
17-510609,3863,Title & Full Escrow,227000.00,1.00,75.00,1249.00,19.00,22.00,0.00,42.00
17-510610,3863,Title Only,116400.00,1.00,44.00,762.00,20.00,11.00,0.00,52.00
2301-205227,3860,Title and Escrow,250000.00,1.00,74.00,746.00,17.00,25.00,1.00,45.00
17-510611,3863,LCP - Title Only,20000.00,1.00,31.00,504.00,4.00,11.00,0.00,28.00
2301-205228,3863,Title and Escrow,225675.00,1.00,74.00,1238.00,18.00,38.00,0.00,41.00
17-510612,3863,Property Report / O&E - Title Only,175900.00,1.00,32.00,513.00,6.00,7.00,0.00,42.00
2301-205229,3860,Title and Escrow,95540.00,1.00,75.00,1172.00,19.00,34.00,0.00,54.00
17-510613,3863,Title & Sub-Escrow,375000.00,2.00,55.00,959.00,19.00,16.00,0.00,28.00
2301-205230,3860,Title and Escrow,98000.00,1.00,84.00,1259.00,19.00,43.00,0.00,34.00
2301-205231,3860,Title and Escrow,63547.00,0.00,91.00,1369.00,18.00,45.00,0.00,67.00
17-510614,3863,Title Only,261000.00,3.00,39.00,899.00,22.00,21.00,0.00,55.00
17-510615,3863,Title & Sub-Escrow,221000.00,2.00,56.00,831.00,20.00,15.00,0.00,60.00
2301-205232,3860,Title and Escrow,51000.00,2.00,65.00,1008.00,22.00,30.00,1.00,45.00
2301-205233,3863,Title and Escrow,164830.00,0.00,73.00,1189.00,26.00,39.00,0.00,31.00
17-510617,3860,Title & Sub-Escrow,484000.00,1.00,55.00,905.00,21.00,27.00,0.00,26.00
17-510618,3863,LCP - Title Only,64000.00,1.00,31.00,548.00,4.00,9.00,0.00,35.00
2301-205236,3860,Title and Escrow,76890.00,0.00,76.00,987.00,18.00,32.00,0.00,75.00
2301-205238,3863,Title and Escrow,150017.00,2.00,96.00,1778.00,28.00,66.00,0.00,42.00
2301-205239,3863,Title and Escrow,120000.00,0.00,40.00,239.00,2.00,3.00,1.00,45.00
17-510619,3860,Title & Sub-Escrow,132201.00,1.00,68.00,1349.00,21.00,40.00,0.00,48.00
2301-205240,3860,Title and Escrow,625500.00,3.00,50.00,443.00,20.00,9.00,1.00,45.00
17-510620,3862,LCP - Title Only,70000.00,1.00,35.00,654.00,4.00,13.00,0.00,59.00
17-510623,3862,Title & Sub-Escrow,288000.00,1.00,67.00,897.00,18.00,25.00,0.00,27.00
17-510624,3860,Reverse Mortgage - Title & Full Escrow,189475.00,1.00,82.00,1498.00,6.00,32.00,0.00,49.00
17-510625,3863,LCP - Title Only,25000.00,1.00,33.00,500.00,4.00,15.00,0.00,25.00
17-510626,3863,Title Only,600000.00,2.00,53.00,863.00,20.00,21.00,0.00,61.00
2301-205242,3863,Title and Escrow,131412.00,1.00,67.00,1063.00,17.00,25.00,0.00,35.00
17-510628,3863,Property Report / O&E - Title Only,28000.00,2.00,39.00,535.00,10.00,19.00,0.00,52.00
17-510629,3860,Title & Full Escrow,184000.00,2.00,72.00,1004.00,22.00,19.00,0.00,61.00
17-510630,3863,Title & Full Escrow,110000.00,0.00,86.00,1204.00,29.00,26.00,0.00,40.00
17-510631,3863,Title & Full Escrow,120225.00,2.00,64.00,902.00,19.00,19.00,0.00,26.00
17-510634,3863,LCP - Title Only,72000.00,1.00,30.00,493.00,4.00,9.00,0.00,12.00
2301-205244,3860,Title and Escrow,115000.00,1.00,52.00,472.00,22.00,12.00,1.00,45.00
17-510635,3863,Title Only,2500000.00,0.00,22.00,241.00,1.00,6.00,1.00,45.00
17-510636,3863,LCP - Title Only,30000.00,1.00,34.00,643.00,4.00,8.00,0.00,63.00
17-510637,3863,LCP - Title Only,40000.00,1.00,31.00,558.00,4.00,11.00,0.00,12.00
2301-205246,3863,Title and Escrow,63784.00,1.00,80.00,1549.00,8.00,62.00,0.00,59.00
17-510638,3863,LCP - Title Only,10000.00,1.00,32.00,525.00,4.00,10.00,0.00,28.00
17-510639,3860,Property Report / O&E - Title Only,76650.00,1.00,37.00,518.00,3.00,8.00,0.00,63.00
17-510646,3863,Title Only,20000.00,0.00,29.00,570.00,17.00,11.00,0.00,11.00
17-510647,3863,LCP - Title Only,45000.00,1.00,40.00,641.00,4.00,11.00,0.00,71.00
17-510649,3860,Title Only,142184.00,1.00,47.00,669.00,19.00,13.00,0.00,32.00
2301-205249,3863,Title and Escrow,375000.00,1.00,75.00,1298.00,16.00,34.00,0.00,28.00
17-510651,3863,Title Only,40000.00,1.00,30.00,483.00,19.00,8.00,1.00,45.00
17-510652,3860,Title & Sub-Escrow,417000.00,1.00,57.00,779.00,21.00,14.00,0.00,43.00
17-510655,3863,TSG - Trustee Sale Guarantee,279093.85,3.00,18.00,459.00,14.00,9.00,0.00,0.00
2301-205254,3860,Title and Escrow,95000.00,0.00,71.00,892.00,20.00,41.00,1.00,45.00
17-510658,3863,LCP - Title Only,40000.00,1.00,37.00,629.00,4.00,10.00,0.00,51.00
2301-205255,3860,Title and Escrow,191680.00,1.00,73.00,1077.00,22.00,33.00,0.00,36.00
2301-205256,3860,Title and Escrow,230000.00,2.00,48.00,475.00,20.00,13.00,1.00,45.00
17-510659,3860,Title & Sub-Escrow,156450.00,1.00,86.00,1188.00,24.00,35.00,0.00,36.00
17-510660,3863,LCP - Title Only,85450.00,1.00,36.00,646.00,4.00,12.00,0.00,60.00
17-510662,3863,Title & Sub-Escrow,461000.00,2.00,32.00,580.00,19.00,5.00,1.00,45.00
17-510664,3862,Title & Sub-Escrow,270000.00,0.00,27.00,402.00,17.00,13.00,1.00,45.00
2301-205257,3863,Title and Escrow,285000.00,0.00,69.00,1126.00,16.00,44.00,0.00,46.00
17-510665,3863,Title & Sub-Escrow,27000.00,1.00,78.00,1164.00,17.00,18.00,0.00,56.00
2301-205261,3863,Title and Escrow,71155.00,1.00,73.00,1468.00,16.00,43.00,0.00,63.00
2301-205262,3860,Title and Escrow,150000.00,3.00,55.00,866.00,25.00,38.00,1.00,45.00
17-510667,3860,Title & Full Escrow,57600.00,1.00,79.00,1187.00,20.00,27.00,0.00,59.00
2301-205265,3863,Title and Escrow,444730.50,1.00,111.00,1775.00,17.00,53.00,0.00,63.00
2301-205266,3863,Title and Escrow,152886.00,0.00,74.00,1473.00,14.00,42.00,0.00,32.00
2301-205267,3863,Title and Escrow,150000.00,0.00,41.00,280.00,1.00,3.00,1.00,45.00
17-510669,3863,Title & Full Escrow,152500.00,2.00,82.00,1142.00,17.00,30.00,0.00,78.00
17-510670,3863,LCP - Title Only,100000.00,1.00,35.00,602.00,4.00,7.00,0.00,56.00
2301-205268,3860,Title and Escrow,50212.00,0.00,75.00,1441.00,18.00,43.00,0.00,71.00
2301-205270,3863,Title and Escrow,303975.00,2.00,66.00,1258.00,18.00,33.00,0.00,37.00
17-510672,3863,Title & Full Escrow,417000.00,2.00,40.00,384.00,20.00,4.00,1.00,45.00
17-510673,3862,Title Only,366715.00,2.00,51.00,923.00,20.00,24.00,0.00,38.00
17-510674,3863,Title Only,150000.00,1.00,46.00,746.00,17.00,13.00,0.00,46.00
2301-205272,3863,Title and Escrow,205075.00,1.00,71.00,1049.00,16.00,26.00,0.00,32.00
17-510676,3863,Title & Sub-Escrow,75000.00,1.00,75.00,1069.00,16.00,18.00,0.00,73.00
17-510677,3862,Title & Sub-Escrow,359300.00,1.00,54.00,914.00,17.00,21.00,0.00,67.00
17-510678,3860,Property Report / O&E - Title Only,25000.00,1.00,39.00,542.00,3.00,9.00,0.00,31.00
17-510679,3863,Title Only,237300.00,1.00,41.00,674.00,20.00,12.00,0.00,29.00
2301-205274,3863,Title and Escrow,177815.00,1.00,79.00,1308.00,17.00,41.00,0.00,53.00
17-510680,3860,Property Report / O&E - Title Only,85350.00,3.00,39.00,523.00,7.00,12.00,0.00,18.00
17-510681,3860,Property Report / O&E - Title Only,126700.00,2.00,38.00,509.00,4.00,12.00,0.00,28.00
17-510683,3860,Property Report / O&E - Title Only,85800.00,1.00,38.00,523.00,3.00,11.00,0.00,24.00
2301-205275,3863,Title and Escrow,148195.00,1.00,74.00,1269.00,18.00,43.00,0.00,49.00
2301-205276,3860,Title and Escrow,146500.00,1.00,93.00,1397.00,21.00,45.00,0.00,43.00
17-510684,3860,Property Report / O&E - Title Only,32000.00,1.00,41.00,541.00,3.00,11.00,0.00,31.00
2301-205277,3860,Title and Escrow,66625.00,2.00,90.00,1613.00,22.00,77.00,0.00,78.00
17-510688,3863,Title & Sub-Escrow,89000.00,2.00,61.00,963.00,18.00,24.00,0.00,71.00
17-510689,3860,Title & Sub-Escrow,350000.00,0.00,30.00,352.00,0.00,9.00,1.00,45.00
2301-205278,3860,Title and Escrow,66066.00,1.00,87.00,1381.00,21.00,49.00,0.00,44.00
2301-205279,3863,Title and Escrow,419175.00,1.00,67.00,1072.00,18.00,21.00,0.00,63.00
2301-205280,3863,Title and Escrow,469125.00,1.00,89.00,1620.00,21.00,77.00,0.00,60.00
17-510691,3860,Title & Full Escrow,127164.00,1.00,82.00,1073.00,21.00,18.00,0.00,32.00
17-510692,3863,LCP - Title Only,10000.00,1.00,39.00,663.00,4.00,18.00,0.00,21.00
2301-205281,3860,Title and Escrow,171410.00,2.00,73.00,1244.00,24.00,40.00,0.00,72.00
17-510695,3860,Property Report / O&E & Full Escrow,49000.00,2.00,68.00,954.00,4.00,21.00,0.00,53.00
17-510697,3860,Property Report / O&E - Title Only,10000.00,1.00,38.00,514.00,3.00,9.00,0.00,31.00
17-510698,3863,Property Report / O&E - Title Only,50000.00,1.00,34.00,525.00,6.00,8.00,0.00,31.00
17-510699,3863,LCP & Sub-Escrow,45000.00,1.00,54.00,931.00,6.00,16.00,0.00,71.00
2301-205282,3863,Title and Escrow,389061.00,1.00,72.00,1312.00,17.00,50.00,0.00,50.00
17-510700,3863,Property Report / O&E - Title Only,130000.00,2.00,33.00,521.00,7.00,9.00,0.00,30.00
17-510701,3860,Property Report / O&E - Title Only,35000.00,1.00,38.00,520.00,3.00,9.00,0.00,30.00
17-510702,3860,Title & Full Escrow,194650.00,1.00,82.00,1229.00,20.00,31.00,0.00,42.00
17-510703,3863,Property Report / O&E - Title Only,150000.00,2.00,32.00,504.00,7.00,11.00,0.00,23.00
2301-205283,3863,Title and Escrow,295000.00,0.00,55.00,596.00,17.00,14.00,1.00,45.00
17-510704,3860,Property Report / O&E & Full Escrow,238300.00,2.00,68.00,724.00,5.00,19.00,0.00,31.00
2301-205285,3860,Title and Escrow,83200.00,0.00,83.00,1338.00,19.00,42.00,0.00,43.00
2301-205286,3860,Title and Escrow,32500.00,0.00,88.00,1290.00,19.00,47.00,0.00,72.00
2301-205287,3860,Title and Escrow,67750.00,0.00,77.00,1527.00,3.00,53.00,0.00,70.00
17-510705,3863,LCP - Title Only,75000.00,1.00,29.00,496.00,4.00,9.00,0.00,9.00
17-510707,3860,Property Report / O&E - Title Only,66300.00,1.00,38.00,548.00,3.00,10.00,0.00,43.00
17-510708,3860,Property Report / O&E - Title Only,70000.00,1.00,38.00,558.00,3.00,11.00,0.00,28.00
17-510709,3860,Property Report / O&E - Title Only,30000.00,1.00,38.00,522.00,3.00,11.00,0.00,81.00
17-510711,3860,Property Report / O&E & Full Escrow,100000.00,2.00,70.00,739.00,6.00,23.00,0.00,25.00
17-510712,3863,LCP - Title Only,42000.00,1.00,34.00,584.00,4.00,13.00,0.00,24.00
17-510713,3860,Property Report / O&E - Title Only,74400.00,1.00,43.00,576.00,4.00,17.00,0.00,59.00
17-510714,3863,Title & Full Escrow,264000.00,2.00,59.00,895.00,19.00,16.00,0.00,66.00
17-510715,3863,Title Only,400000.00,0.00,26.00,311.00,0.00,9.00,1.00,45.00
17-510718,3860,Property Report / O&E - Title Only,60050.00,1.00,39.00,585.00,3.00,14.00,0.00,46.00
17-510719,3863,Title Only,120000.00,1.00,40.00,630.00,17.00,10.00,0.00,51.00
17-510721,3863,LCP - Title Only,30000.00,2.00,30.00,535.00,6.00,9.00,0.00,9.00
17-510722,3863,LCP - Title Only,11500.00,1.00,35.00,632.00,4.00,9.00,0.00,60.00
17-510723,3863,Title & Full Escrow,28000.00,1.00,77.00,1237.00,19.00,23.00,0.00,32.00
17-510724,3860,Title & Full Escrow,315900.00,2.00,64.00,903.00,24.00,19.00,0.00,32.00
17-510725,3860,Title & Full Escrow,115800.00,1.00,67.00,874.00,21.00,16.00,0.00,32.00
17-510726,3860,Title & Full Escrow,139900.00,4.00,79.00,1429.00,31.00,42.00,0.00,52.00
17-510727,3860,Title & Full Escrow,151100.00,1.00,62.00,844.00,21.00,16.00,0.00,32.00
17-510729,3860,Title & Full Escrow,181623.00,2.00,68.00,905.00,22.00,17.00,0.00,36.00
17-510734,3863,Title & Full Escrow,179988.00,2.00,63.00,821.00,17.00,15.00,0.00,65.00
17-510737,3862,Title & Full Escrow,166800.00,2.00,59.00,915.00,21.00,20.00,0.00,43.00
17-510739,3863,Title & Full Escrow,182200.00,1.00,65.00,980.00,29.00,24.00,0.00,31.00
17-510742,3862,Title Only,195000.00,0.00,51.00,809.00,20.00,24.00,0.00,41.00
2301-205295,3863,Title and Escrow,360288.00,2.00,64.00,1115.00,18.00,36.00,0.00,36.00
17-510744,3862,Title Only,361000.00,3.00,62.00,1082.00,23.00,29.00,0.00,37.00
17-510745,3862,Title Only,241000.00,1.00,47.00,768.00,18.00,20.00,0.00,56.00
2301-205296,3860,Title and Escrow,139150.00,2.00,78.00,1294.00,21.00,40.00,0.00,31.00
17-510748,3863,LCP - Title Only,14000.00,1.00,39.00,692.00,4.00,12.00,0.00,64.00
17-510750,3863,Title & Full Escrow,372000.00,1.00,57.00,729.00,16.00,9.00,0.00,79.00
17-510751,3862,Title & Sub-Escrow,806400.00,1.00,53.00,795.00,17.00,18.00,0.00,38.00
17-510752,3860,Title & Full Escrow,234500.00,1.00,74.00,1019.00,19.00,21.00,0.00,28.00
17-510753,3863,LCP - Title Only,75000.00,1.00,35.00,626.00,4.00,9.00,0.00,48.00
17-510754,3863,Title Only,156000.00,2.00,38.00,749.00,25.00,17.00,0.00,37.00
2301-205298,3863,Title and Escrow,69500.00,1.00,78.00,1318.00,8.00,41.00,0.00,55.00
17-510755,3862,Title Only,288044.00,1.00,84.00,1217.00,21.00,39.00,0.00,63.00
2301-205300,3860,Title and Escrow,140000.00,0.00,42.00,236.00,1.00,1.00,1.00,45.00
2301-205301,3860,Title and Escrow,405350.00,1.00,83.00,1802.00,25.00,66.00,0.00,55.00
2301-205302,3860,Title and Escrow,74802.00,0.00,78.00,1170.00,21.00,44.00,0.00,71.00
2301-205304,3860,Title and Escrow,200000.00,0.00,47.00,281.00,1.00,7.00,1.00,45.00
17-510759,3863,LCP - Title Only,25000.00,1.00,40.00,672.00,4.00,13.00,0.00,41.00
2301-205305,3863,Title and Escrow,389061.00,2.00,70.00,1302.00,20.00,38.00,0.00,36.00
2301-205306,3863,Title and Escrow,606000.00,2.00,65.00,1433.00,20.00,47.00,0.00,56.00
2301-205307,3860,Title and Escrow,60000.00,1.00,58.00,509.00,20.00,12.00,1.00,45.00
2301-205308,3863,Title and Escrow,310300.00,2.00,71.00,1157.00,18.00,38.00,0.00,28.00
17-510762,3860,Title & Sub-Escrow,412500.00,1.00,98.00,1444.00,22.00,31.00,0.00,49.00
2301-205309,3863,Title and Escrow,415957.50,1.00,70.00,1104.00,18.00,28.00,0.00,37.00
2301-205310,3863,Title and Escrow,319630.50,2.00,118.00,1837.00,16.00,62.00,0.00,56.00
17-510764,3863,Title & Full Escrow,120000.00,1.00,61.00,874.00,17.00,14.00,0.00,66.00
17-510766,3863,Title & Sub-Escrow,30000.00,2.00,64.00,1092.00,21.00,24.00,0.00,79.00
17-510768,3863,Property Report / O&E & Full Escrow,381000.00,2.00,61.00,763.00,7.00,15.00,0.00,37.00
2301-205313,3860,Title and Escrow,88500.00,2.00,53.00,503.00,18.00,13.00,1.00,45.00
17-510769,3860,Property Report / O&E & Full Escrow,40000.00,1.00,68.00,736.00,4.00,18.00,0.00,24.00
17-510770,3860,Property Report / O&E - Title Only,25000.00,1.00,43.00,542.00,4.00,14.00,0.00,28.00
2301-205314,3860,Title and Escrow,74000.00,2.00,49.00,448.00,24.00,10.00,1.00,45.00
17-510772,3863,LCP - Title Only,25000.00,2.00,35.00,618.00,6.00,10.00,0.00,43.00
17-510773,3860,Title Only,40000.00,1.00,84.00,1159.00,21.00,26.00,0.00,59.00
2301-205315,3860,Title and Escrow,50000.00,0.00,50.00,422.00,20.00,7.00,1.00,45.00
17-510775,3860,Property Report / O&E - Title Only,35000.00,2.00,38.00,554.00,4.00,13.00,0.00,59.00
2301-205316,3860,Title and Escrow,107500.00,0.00,56.00,541.00,1.00,23.00,1.00,45.00
17-510777,3863,Property Report / O&E - Title Only,50250.00,1.00,36.00,551.00,6.00,9.00,0.00,45.00
17-510778,3860,Property Report / O&E - Title Only,30000.00,2.00,38.00,501.00,5.00,11.00,0.00,29.00
17-510779,3860,Property Report / O&E - Title Only,250000.00,1.00,38.00,494.00,4.00,10.00,0.00,38.00
17-510781,3860,Property Report / O&E - Title Only,80000.00,2.00,39.00,546.00,5.00,13.00,0.00,42.00
2301-205320,3863,Title and Escrow,115000.00,1.00,65.00,563.00,17.00,14.00,1.00,45.00
2301-205321,3863,Title and Escrow,115140.00,1.00,73.00,1491.00,17.00,37.00,0.00,37.00
2301-205322,3863,Purchase with Conventional Loan,412000.00,2.00,102.00,2621.00,20.00,103.00,0.00,29.00
17-510784,3863,Title & Full Escrow,266359.00,1.00,66.00,935.00,17.00,15.00,0.00,51.00
17-510786,3863,Title & Full Escrow,157500.00,1.00,55.00,743.00,16.00,12.00,0.00,29.00
17-510787,3860,Title & Full Escrow,271679.00,1.00,67.00,1011.00,21.00,17.00,0.00,37.00
2301-205323,3863,Title and Escrow,245490.00,0.00,73.00,1523.00,17.00,40.00,0.00,69.00
17-510789,3860,Title & Full Escrow,169108.00,1.00,44.00,431.00,21.00,13.00,1.00,45.00
17-510790,3860,Property Report / O&E - Title Only,10000.00,1.00,38.00,527.00,3.00,10.00,0.00,80.00
17-510791,3863,Title & Full Escrow,281150.00,1.00,59.00,745.00,17.00,13.00,0.00,23.00
17-510792,3863,Title & Sub-Escrow,408000.00,1.00,55.00,824.00,18.00,13.00,0.00,29.00
17-510793,3863,Title & Full Escrow,134025.00,1.00,63.00,890.00,17.00,17.00,0.00,27.00
17-510794,3862,Title & Full Escrow,150000.00,1.00,62.00,1085.00,17.00,13.00,0.00,38.00
2301-205326,3863,Title and Escrow,303360.00,1.00,89.00,1514.00,29.00,51.00,0.00,22.00
17-510795,3863,Title & Full Escrow,287179.00,1.00,59.00,839.00,16.00,16.00,0.00,35.00
2301-205327,3863,Title and Escrow,199125.00,1.00,101.00,1667.00,28.00,55.00,0.00,27.00
2301-205328,3863,Title and Escrow,152152.00,1.00,73.00,1130.00,28.00,28.00,0.00,21.00
17-510798,3860,Title & Full Escrow,216000.00,1.00,67.00,933.00,22.00,14.00,0.00,50.00
17-510799,3860,Property Report / O&E & Full Escrow,25000.00,1.00,82.00,973.00,5.00,21.00,0.00,27.00
17-510802,3860,Property Report / O&E - Title Only,105000.00,2.00,38.00,523.00,5.00,11.00,0.00,42.00
2301-205330,3863,Title and Escrow,115774.00,0.00,73.00,1129.00,16.00,31.00,0.00,31.00
17-510803,3863,Title & Sub-Escrow,22000.00,2.00,67.00,1435.00,18.00,22.00,0.00,59.00
2301-205331,3863,Title and Escrow,412830.00,0.00,77.00,1657.00,17.00,45.00,0.00,17.00
2301-205332,3863,Title and Escrow,431595.00,1.00,64.00,1112.00,17.00,37.00,0.00,43.00
2301-205333,3860,Title and Escrow,625500.00,2.00,51.00,528.00,20.00,8.00,1.00,45.00
17-510804,3863,Title & Full Escrow,217200.00,1.00,60.00,895.00,20.00,20.00,0.00,38.00
17-510805,3863,Property Report / O&E - Title Only,250000.00,1.00,36.00,534.00,7.00,10.00,0.00,30.00
17-510806,3863,Property Report / O&E - Title Only,85900.00,1.00,32.00,531.00,6.00,9.00,0.00,35.00
17-510807,3860,Property Report / O&E - Title Only,21800.00,2.00,38.00,555.00,4.00,10.00,0.00,50.00
2301-205335,3863,Title and Escrow,332140.50,1.00,66.00,1068.00,15.00,29.00,0.00,63.00
2301-205336,3863,Title and Escrow,164250.00,1.00,77.00,1287.00,18.00,43.00,0.00,69.00
17-510811,3863,Property Report / O&E - Title Only,95000.00,2.00,21.00,336.00,9.00,5.00,1.00,45.00
2301-205337,3863,Title and Escrow,165130.00,1.00,79.00,1400.00,19.00,37.00,0.00,31.00
2301-205338,3860,Title and Escrow,132750.00,0.00,80.00,1131.00,20.00,35.00,0.00,45.00
2301-205339,3863,Title and Escrow,187270.00,1.00,79.00,1367.00,20.00,40.00,0.00,48.00
2301-205340,3860,Title and Escrow,341523.00,2.00,115.00,1754.00,23.00,93.00,0.00,80.00
2301-205342,3863,Title and Escrow,178840.00,0.00,78.00,1260.00,26.00,41.00,0.00,31.00
2301-205344,3863,Title and Escrow,293415.00,1.00,83.00,1336.00,19.00,48.00,0.00,43.00
17-510814,3862,Title Only,50000.00,0.00,44.00,648.00,17.00,16.00,0.00,15.00
17-510815,3863,Property Report / O&E - Title Only,67100.00,1.00,27.00,399.00,6.00,7.00,0.00,23.00
17-510816,3862,LCP & Sub-Escrow,25000.00,1.00,40.00,663.00,4.00,16.00,0.00,22.00
17-510818,3863,Property Report / O&E - Title Only,34000.00,1.00,34.00,505.00,6.00,9.00,0.00,29.00
17-510819,3863,Title & Full Escrow,198600.00,1.00,58.00,835.00,17.00,16.00,0.00,49.00
2301-205346,3860,Title and Escrow,267900.00,1.00,76.00,1312.00,20.00,41.00,0.00,43.00
2301-205347,3863,Title and Escrow,170000.00,1.00,52.00,495.00,17.00,12.00,1.00,45.00
2301-205348,3863,Title and Escrow,325420.00,1.00,74.00,1201.00,16.00,36.00,0.00,29.00
2301-205351,3863,Title and Escrow,455989.50,0.00,71.00,1144.00,16.00,37.00,0.00,35.00
17-510826,3860,Property Report / O&E - Title Only,208000.00,2.00,39.00,517.00,5.00,12.00,0.00,72.00
17-510829,3860,Property Report / O&E & Full Escrow,52750.00,1.00,69.00,794.00,6.00,18.00,0.00,37.00
17-510830,3860,Property Report / O&E - Title Only,35000.00,2.00,38.00,524.00,6.00,12.00,0.00,31.00
17-510831,3863,LCP & Sub-Escrow,33000.00,2.00,37.00,646.00,5.00,14.00,0.00,38.00
17-510832,3860,Property Report / O&E - Title Only,131200.00,2.00,39.00,590.00,4.00,14.00,0.00,51.00
17-510833,3860,Property Report / O&E - Title Only,100000.00,2.00,40.00,524.00,9.00,13.00,0.00,41.00
17-510834,3863,LCP - Title Only,21000.00,1.00,35.00,669.00,4.00,8.00,0.00,49.00
17-510835,3863,LCP & Sub-Escrow,70000.00,1.00,45.00,772.00,4.00,14.00,0.00,30.00
2301-205353,3860,Title and Escrow,293260.00,2.00,84.00,1410.00,24.00,56.00,0.00,37.00
2301-205356,3860,Title and Escrow,208510.00,1.00,78.00,1280.00,19.00,56.00,0.00,58.00
17-510840,3863,Title Only,190000.00,1.00,40.00,631.00,17.00,11.00,0.00,44.00
17-510842,3860,Title Only,56692.00,1.00,47.00,759.00,22.00,17.00,0.00,29.00
2301-205357,3860,Title and Escrow,66124.00,0.00,112.00,1435.00,17.00,39.00,0.00,51.00
2301-205358,3860,Title and Escrow,36108.00,0.00,102.00,1320.00,23.00,50.00,0.00,29.00
17-510844,3863,Title & Full Escrow,169000.00,2.00,74.00,1268.00,17.00,24.00,0.00,30.00
2301-205359,3863,Title and Escrow,366543.00,0.00,74.00,1254.00,20.00,39.00,0.00,14.00
17-510846,3862,Title & Sub-Escrow,225125.00,2.00,79.00,1112.00,21.00,32.00,0.00,40.00
2301-205361,3863,Title and Escrow,206040.00,1.00,70.00,1054.00,17.00,33.00,0.00,28.00
17-510848,3863,LCP - Title Only,50000.00,0.00,39.00,656.00,4.00,10.00,0.00,61.00
17-510849,3863,LCP - Title Only,41500.00,1.00,35.00,681.00,4.00,14.00,0.00,62.00
