sFileNumber,vCoverageType,vProduct,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-501718,3863,LCP - Title Only,2.00,36.00,390.00,5.00,6.00,1.00,45.00
2301-200834,3863,Title and Escrow,1.00,87.00,1568.00,20.00,49.00,0.00,42.00
17-501719,3860,Title & Full Escrow,1.00,72.00,1037.00,24.00,23.00,0.00,46.00
17-501720,3863,Title & Sub-Escrow,1.00,62.00,977.00,21.00,23.00,0.00,81.00
17-501721,3863,LCP - Title Only,1.00,33.00,390.00,8.00,7.00,0.00,201.00
17-501723,3863,Title & Full Escrow,0.00,81.00,1068.00,19.00,22.00,0.00,48.00
17-501724,3860,Property Report / O&E - Title Only,1.00,23.00,318.00,6.00,7.00,0.00,176.00
2301-200836,3860,Title and Escrow,0.00,39.00,262.00,1.00,6.00,1.00,45.00
17-501727,3863,LCP - Title Only,2.00,33.00,380.00,12.00,5.00,0.00,201.00
17-501728,3863,Title & Full Escrow,2.00,73.00,1253.00,19.00,17.00,0.00,110.00
17-501729,3863,Title & Full Escrow,1.00,76.00,1020.00,18.00,19.00,0.00,109.00
17-501731,3863,Title & Full Escrow,1.00,87.00,1149.00,31.00,25.00,0.00,47.00
17-501732,3863,Title & Full Escrow,1.00,74.00,928.00,32.00,17.00,0.00,48.00
17-501733,3863,Title & Full Escrow,3.00,71.00,965.00,21.00,21.00,0.00,54.00
17-501734,3860,Reverse Mortgage - Title Only,0.00,35.00,567.00,21.00,20.00,1.00,45.00
17-501735,3860,Title Only,2.00,45.00,729.00,20.00,26.00,0.00,29.00
17-501736,3863,Title & Full Escrow,2.00,68.00,1037.00,20.00,14.00,0.00,67.00
17-501737,3863,Title & Full Escrow,2.00,65.00,863.00,19.00,14.00,0.00,29.00
17-501738,3860,Title & Full Escrow,1.00,67.00,887.00,22.00,18.00,0.00,48.00
17-501740,3863,LCP - Title Only,1.00,37.00,483.00,6.00,17.00,0.00,32.00
17-501741,3863,Title & Full Escrow,1.00,68.00,875.00,19.00,15.00,0.00,35.00
2301-200839,3863,Title and Escrow,2.00,47.00,508.00,22.00,8.00,1.00,45.00
2301-200840,3863,Title and Escrow,1.00,82.00,1357.00,17.00,41.00,0.00,18.00
17-501743,3863,LCP - Title Only,1.00,45.00,548.00,4.00,22.00,0.00,21.00
2301-200841,3860,Title and Escrow,7.00,77.00,864.00,33.00,24.00,1.00,45.00
17-501744,3863,LCP - Title Only,1.00,36.00,569.00,4.00,20.00,0.00,15.00
17-501745,3863,LCP - Title Only,1.00,42.00,576.00,4.00,12.00,0.00,33.00
2301-200842,3863,Title and Escrow,1.00,82.00,1492.00,18.00,62.00,0.00,55.00
17-501746,3863,Title & Full Escrow,1.00,52.00,502.00,18.00,8.00,1.00,45.00
17-501747,3860,Property Report / O&E & Full Escrow,4.00,78.00,1024.00,15.00,29.00,0.00,25.00
17-501748,3860,Property Report / O&E - Title Only,1.00,44.00,576.00,4.00,15.00,0.00,35.00
17-501749,3860,Property Report / O&E - Title Only,1.00,49.00,694.00,4.00,17.00,0.00,29.00
17-501750,3860,Property Report / O&E & Full Escrow,1.00,71.00,822.00,5.00,24.00,0.00,81.00
17-501751,3863,Property Report / O&E - Title Only,1.00,40.00,515.00,6.00,11.00,0.00,57.00
17-501752,3860,Property Report / O&E - Title Only,1.00,46.00,568.00,4.00,14.00,0.00,29.00
2301-200843,3860,Title and Escrow,1.00,76.00,1496.00,24.00,41.00,0.00,34.00
17-501753,3863,Title & Full Escrow,0.00,121.00,779.00,2.00,35.00,1.00,45.00
17-501754,3863,Title Only,1.00,124.00,1415.00,2.00,52.00,1.00,45.00
17-501755,3863,LCP - Title Only,0.00,128.00,1499.00,2.00,25.00,1.00,45.00
17-501756,3863,Title & Sub-Escrow,2.00,62.00,961.00,19.00,24.00,0.00,32.00
17-501757,3860,Reverse Mortgage - Title & Sub-Escrow,2.00,47.00,701.00,26.00,15.00,1.00,45.00
2301-200844,3863,Title and Escrow,0.00,58.00,589.00,8.00,9.00,1.00,45.00
17-501759,3863,Title Only,1.00,68.00,842.00,30.00,21.00,0.00,59.00
17-501760,3860,TSG - Trustee Sale Guarantee,3.00,29.00,576.00,16.00,14.00,0.00,80.00
17-501761,3860,TSG - Trustee Sale Guarantee,2.00,23.00,519.00,16.00,13.00,0.00,80.00
17-501762,3860,Title & Sub-Escrow,1.00,58.00,848.00,23.00,33.00,0.00,47.00
17-501763,3860,TSG - Trustee Sale Guarantee,1.00,15.00,399.00,9.00,8.00,0.00,80.00
2301-200845,3860,Title and Escrow,0.00,54.00,530.00,21.00,9.00,1.00,45.00
17-501765,3860,Title Only,2.00,80.00,1305.00,24.00,51.00,0.00,70.00
17-501766,3863,Property Report / O&E - Title Only,1.00,30.00,360.00,6.00,9.00,0.00,119.00
2301-200846,3863,Title and Escrow,2.00,69.00,1164.00,17.00,34.00,0.00,28.00
2301-200847,3863,Title and Escrow,1.00,56.00,620.00,19.00,12.00,1.00,45.00
17-501767,3863,Title Only,2.00,87.00,1151.00,23.00,39.00,0.00,47.00
2301-200848,3863,Title and Escrow,0.00,39.00,397.00,4.00,7.00,1.00,45.00
2301-200849,3863,Title and Escrow,1.00,94.00,1813.00,30.00,58.00,0.00,28.00
17-501768,3863,Title & Sub-Escrow,4.00,58.00,737.00,26.00,14.00,1.00,45.00
17-501769,3863,LCP - Title Only,1.00,43.00,662.00,4.00,11.00,0.00,60.00
17-501770,3863,LCP - Title Only,1.00,49.00,689.00,5.00,16.00,0.00,60.00
17-501771,3860,Title Only,1.00,27.00,393.00,19.00,7.00,1.00,45.00
2301-200852,3863,Title and Escrow,0.00,89.00,1478.00,29.00,39.00,0.00,35.00
17-501772,3863,Property Report / O&E - Title Only,1.00,41.00,545.00,6.00,10.00,0.00,39.00
17-501773,3863,Title Only,1.00,51.00,796.00,20.00,19.00,0.00,35.00
17-501774,3863,LCP - Title Only,0.00,33.00,336.00,5.00,4.00,0.00,200.00
17-501775,3860,Property Report / O&E - Title Only,1.00,28.00,313.00,4.00,5.00,0.00,175.00
17-501776,3860,Property Report / O&E - Title Only,1.00,50.00,587.00,4.00,17.00,0.00,31.00
17-501777,3860,Title Only,0.00,66.00,944.00,20.00,34.00,0.00,41.00
17-501778,3863,Title & Full Escrow,1.00,53.00,464.00,19.00,6.00,1.00,45.00
17-501779,3860,Property Report / O&E - Title Only,1.00,28.00,322.00,4.00,6.00,0.00,175.00
17-501780,3863,LCP - Title Only,1.00,31.00,326.00,4.00,4.00,1.00,45.00
17-501781,3863,Title Only,1.00,51.00,620.00,18.00,15.00,1.00,45.00
17-501782,3863,Property Report / O&E - Title Only,2.00,38.00,561.00,7.00,13.00,0.00,39.00
17-501783,3863,Title Only,1.00,34.00,378.00,19.00,4.00,1.00,45.00
17-501785,3863,Property Report / O&E - Title Only,1.00,42.00,525.00,6.00,11.00,0.00,31.00
17-501786,3863,Title & Sub-Escrow,1.00,55.00,874.00,20.00,17.00,0.00,39.00
17-501788,3863,Title & Full Escrow,3.00,105.00,1631.00,21.00,41.00,0.00,109.00
2301-200853,3863,Title and Escrow,2.00,69.00,1277.00,20.00,44.00,0.00,21.00
17-501789,3863,LCP - Title Only,1.00,35.00,384.00,4.00,9.00,1.00,45.00
17-501791,3863,Title & Full Escrow,1.00,79.00,1063.00,18.00,20.00,0.00,94.00
17-501795,3860,Title & Full Escrow,1.00,68.00,1054.00,25.00,20.00,0.00,47.00
17-501797,3863,Title & Full Escrow,1.00,68.00,954.00,17.00,20.00,0.00,49.00
17-501798,3860,Title & Full Escrow,1.00,67.00,864.00,21.00,19.00,0.00,39.00
17-501800,3863,LCP - Title Only,1.00,63.00,851.00,4.00,18.00,0.00,45.00
17-501803,3863,Title Only,1.00,49.00,658.00,18.00,18.00,0.00,47.00
2301-200854,3860,Title and Escrow,3.00,58.00,566.00,25.00,10.00,1.00,45.00
17-501804,3863,Title & Full Escrow,2.00,83.00,1295.00,20.00,35.00,0.00,70.00
17-501806,3860,Title & Full Escrow,1.00,78.00,1209.00,13.00,19.00,0.00,41.00
2301-200855,3863,Title and Escrow,1.00,77.00,1042.00,16.00,30.00,0.00,35.00
17-501807,3863,Title & Full Escrow,3.00,72.00,1025.00,20.00,28.00,0.00,32.00
2301-200856,3863,Title and Escrow,0.00,120.00,1799.00,31.00,50.00,0.00,95.00
17-501808,3863,LCP - Title Only,1.00,34.00,363.00,4.00,5.00,1.00,45.00
17-501809,3863,Title Only,1.00,39.00,504.00,18.00,10.00,1.00,45.00
17-501810,3860,Property Report / O&E - Title Only,0.00,15.00,207.00,0.00,4.00,1.00,45.00
2301-200857,3860,Title and Escrow,0.00,74.00,1162.00,19.00,28.00,0.00,31.00
2301-200858,3863,Title and Escrow,1.00,87.00,1468.00,29.00,36.00,0.00,45.00
2301-200859,3860,Title and Escrow,0.00,86.00,1631.00,10.00,38.00,0.00,17.00
2301-200861,3863,Title and Escrow,1.00,78.00,1372.00,18.00,52.00,0.00,38.00
17-501811,3860,Title Only,2.00,54.00,872.00,25.00,27.00,0.00,87.00
2301-200862,3860,Title and Escrow,4.00,51.00,583.00,24.00,14.00,1.00,45.00
17-501812,3860,Property Report / O&E - Title Only,1.00,40.00,519.00,6.00,14.00,0.00,19.00
2301-200864,3860,Title and Escrow,1.00,78.00,1266.00,20.00,35.00,0.00,32.00
17-501815,3863,Title Only,1.00,65.00,854.00,32.00,22.00,0.00,41.00
17-501816,3863,Title Only,2.00,49.00,739.00,22.00,18.00,1.00,45.00
17-501817,3863,LCP & Sub-Escrow,2.00,58.00,856.00,6.00,20.00,0.00,32.00
17-501818,3863,Property Report / O&E - Title Only,1.00,27.00,303.00,6.00,4.00,0.00,175.00
17-501819,3863,Title & Full Escrow,2.00,64.00,997.00,22.00,14.00,0.00,117.00
2301-200866,3860,Title and Escrow,0.00,88.00,1543.00,28.00,43.00,0.00,59.00
17-501821,3863,LCP - Title Only,1.00,41.00,534.00,4.00,14.00,0.00,35.00
17-501822,3863,Title & Full Escrow,1.00,65.00,1028.00,18.00,14.00,0.00,90.00
2301-200867,3863,Title and Escrow,7.00,47.00,505.00,27.00,4.00,1.00,45.00
17-501823,3860,Reverse Mortgage - Title Only,1.00,74.00,1222.00,22.00,45.00,0.00,131.00
17-501824,3863,LCP - Title Only,2.00,56.00,978.00,5.00,27.00,0.00,45.00
17-501826,3863,Reverse Mortgage - Title Only,0.00,50.00,842.00,19.00,20.00,0.00,55.00
17-501827,3863,LCP & Sub-Escrow,2.00,68.00,1041.00,6.00,30.00,0.00,80.00
17-501828,3863,LCP - Title Only,1.00,40.00,503.00,4.00,11.00,0.00,49.00
17-501829,3860,Property Report / O&E - Title Only,0.00,22.00,183.00,0.00,4.00,1.00,45.00
2301-200869,3863,Title and Escrow,2.00,96.00,1524.00,20.00,47.00,0.00,137.00
17-501830,3863,LCP - Title Only,1.00,36.00,655.00,4.00,13.00,0.00,24.00
2301-200872,3863,Title and Escrow,1.00,79.00,1391.00,31.00,43.00,0.00,54.00
17-501832,3863,LCP - Title Only,1.00,47.00,625.00,4.00,17.00,0.00,27.00
17-501833,3863,LCP - Title Only,1.00,44.00,596.00,4.00,11.00,0.00,47.00
17-501834,3863,LCP - Title Only,1.00,48.00,711.00,4.00,11.00,0.00,47.00
17-501835,3860,Property Report / O&E - Title Only,1.00,42.00,551.00,4.00,12.00,0.00,49.00
17-501836,3860,Property Report / O&E - Title Only,1.00,42.00,537.00,4.00,11.00,0.00,63.00
17-501837,3860,Property Report / O&E - Title Only,1.00,43.00,541.00,4.00,12.00,0.00,52.00
17-501838,3860,Property Report / O&E - Title Only,1.00,45.00,573.00,4.00,16.00,0.00,34.00
17-501839,3860,Title & Sub-Escrow,2.00,55.00,912.00,25.00,20.00,0.00,80.00
17-501840,3860,Title & Full Escrow,2.00,90.00,1505.00,28.00,51.00,0.00,43.00
2301-200874,3860,Title and Escrow,2.00,61.00,678.00,26.00,17.00,1.00,45.00
17-501841,3863,Title Only,1.00,70.00,986.00,33.00,27.00,0.00,77.00
17-501842,3863,Title Only,1.00,85.00,1206.00,19.00,40.00,0.00,92.00
17-501843,3860,Title Only,1.00,84.00,1092.00,20.00,45.00,0.00,102.00
17-501844,3863,Title Only,1.00,52.00,791.00,18.00,22.00,0.00,49.00
17-501845,3863,Title Only,1.00,36.00,374.00,20.00,6.00,1.00,45.00
17-501846,3863,Property Report / O&E - Title Only,1.00,29.00,324.00,8.00,5.00,0.00,172.00
2301-200875,3863,Title and Escrow,1.00,75.00,1246.00,18.00,30.00,0.00,30.00
17-501847,3863,LCP - Title Only,1.00,32.00,336.00,4.00,6.00,1.00,45.00
17-501848,3860,Title Only,2.00,30.00,444.00,22.00,8.00,1.00,45.00
17-501849,3863,Title Only,0.00,39.00,573.00,18.00,19.00,0.00,39.00
17-501850,3860,Property Report / O&E - Title Only,2.00,28.00,378.00,10.00,8.00,0.00,172.00
2301-200878,3863,Title and Escrow,1.00,58.00,649.00,17.00,20.00,1.00,45.00
17-501851,3863,LCP - Title Only,1.00,46.00,626.00,4.00,17.00,0.00,25.00
2301-200879,3860,Title and Escrow,1.00,54.00,515.00,22.00,9.00,1.00,45.00
17-501852,3863,Title Only,2.00,29.00,360.00,19.00,3.00,1.00,45.00
2301-200880,3863,Title and Escrow,1.00,75.00,1382.00,28.00,35.00,0.00,28.00
17-501853,3863,Title Only,0.00,79.00,1219.00,18.00,36.00,0.00,35.00
17-501854,3863,Property Report / O&E - Title Only,1.00,43.00,569.00,6.00,11.00,0.00,79.00
17-501855,3863,Property Report / O&E - Title Only,1.00,41.00,549.00,8.00,14.00,0.00,32.00
17-501856,3863,Title & Full Escrow,1.00,89.00,1145.00,19.00,29.00,0.00,49.00
17-501857,3860,Property Report / O&E - Title Only,1.00,28.00,308.00,4.00,5.00,0.00,172.00
17-501858,3860,Property Report / O&E & Full Escrow,2.00,78.00,958.00,7.00,25.00,0.00,39.00
17-501859,3863,Title & Full Escrow,1.00,65.00,904.00,19.00,17.00,0.00,44.00
17-501860,3860,Property Report / O&E & Full Escrow,1.00,83.00,1010.00,4.00,26.00,0.00,45.00
17-501861,3863,LCP - Title Only,1.00,45.00,643.00,5.00,17.00,0.00,42.00
17-501862,3863,Property Report / O&E - Title Only,1.00,28.00,321.00,8.00,4.00,0.00,172.00
17-501864,3863,Title & Full Escrow,2.00,72.00,1011.00,34.00,19.00,0.00,45.00
17-501865,3863,Title & Full Escrow,1.00,68.00,1006.00,21.00,19.00,0.00,44.00
17-501866,3860,Property Report / O&E - Title Only,1.00,28.00,321.00,4.00,7.00,0.00,172.00
17-501867,3863,Title & Full Escrow,1.00,106.00,988.00,19.00,21.00,0.00,135.00
17-501868,3863,LCP - Title Only,1.00,46.00,546.00,4.00,11.00,1.00,45.00
2301-200883,3863,Title Only,0.00,46.00,530.00,26.00,8.00,1.00,45.00
2301-200884,3863,Title and Escrow,0.00,81.00,1193.00,14.00,51.00,0.00,28.00
17-501871,3860,Title & Full Escrow,2.00,68.00,967.00,25.00,26.00,0.00,38.00
17-501873,3863,Title & Sub-Escrow,1.00,64.00,1057.00,20.00,25.00,0.00,58.00
17-501875,3863,Title & Full Escrow,1.00,70.00,832.00,20.00,15.00,0.00,71.00
17-501878,3860,Property Report / O&E - Title Only,1.00,28.00,318.00,4.00,7.00,0.00,172.00
17-501879,3863,Title & Full Escrow,1.00,64.00,875.00,18.00,12.00,0.00,46.00
2301-200885,3863,Title and Escrow,1.00,93.00,1396.00,19.00,45.00,0.00,58.00
17-501880,3863,Title Only,0.00,31.00,363.00,18.00,3.00,1.00,45.00
17-501881,3860,Title & Sub-Escrow,1.00,51.00,546.00,22.00,13.00,1.00,45.00
17-501883,3863,Legal & Vesting - Title Only,0.00,39.00,596.00,5.00,6.00,0.00,28.00
17-501885,3863,Legal & Vesting - Title Only,0.00,16.00,202.00,0.00,4.00,1.00,45.00
2301-200886,3860,Title and Escrow,1.00,50.00,525.00,20.00,6.00,1.00,45.00
17-501888,3863,Title & Full Escrow,1.00,48.00,440.00,20.00,5.00,1.00,45.00
2301-200887,3863,Title and Escrow,1.00,88.00,1451.00,18.00,40.00,0.00,44.00
2301-200888,3863,Title and Escrow,1.00,71.00,1262.00,19.00,36.00,0.00,31.00
17-501889,3863,Title & Full Escrow,2.00,67.00,1069.00,20.00,19.00,0.00,74.00
17-501890,3863,Title Only,1.00,57.00,723.00,19.00,21.00,0.00,42.00
17-501892,3860,Title Only,1.00,55.00,928.00,28.00,29.00,0.00,99.00
17-501893,3863,Title & Full Escrow,2.00,68.00,1199.00,23.00,27.00,0.00,24.00
17-501894,3863,LCP - Title Only,1.00,32.00,292.00,4.00,4.00,1.00,45.00
17-501895,3863,Title & Sub-Escrow,1.00,72.00,1364.00,20.00,33.00,0.00,31.00
2301-200889,3863,Title and Escrow,0.00,35.00,228.00,2.00,0.00,1.00,45.00
2301-200890,3860,Title and Escrow,1.00,90.00,1483.00,25.00,62.00,0.00,101.00
2301-200892,3860,Title and Escrow,1.00,53.00,570.00,22.00,7.00,1.00,45.00
17-501896,3863,Title Only,1.00,59.00,877.00,19.00,22.00,0.00,38.00
2301-200893,3863,Title and Escrow,2.00,74.00,1574.00,21.00,53.00,0.00,29.00
17-501898,3863,Title & Sub-Escrow,1.00,38.00,362.00,18.00,4.00,1.00,45.00
2301-200894,3863,Title and Escrow,1.00,83.00,1355.00,18.00,54.00,0.00,37.00
17-501899,3863,LCP - Title Only,2.00,34.00,354.00,6.00,4.00,1.00,45.00
2301-200895,3860,Title and Escrow,2.00,49.00,474.00,22.00,6.00,1.00,45.00
2301-200896,3863,Title and Escrow,0.00,86.00,1666.00,16.00,55.00,0.00,23.00
17-501900,3863,Title Only,1.00,48.00,625.00,17.00,13.00,0.00,50.00
2301-200898,3863,Title and Escrow,2.00,83.00,1689.00,10.00,32.00,0.00,21.00
2301-200900,3860,Title and Escrow,0.00,79.00,1332.00,19.00,39.00,0.00,58.00
17-501901,3863,Title Only,1.00,38.00,438.00,20.00,6.00,1.00,45.00
17-501902,3863,Title Only,2.00,52.00,923.00,20.00,21.00,0.00,79.00
17-501903,3863,Title Only,1.00,41.00,540.00,18.00,10.00,1.00,45.00
2301-200906,3863,Title and Escrow,1.00,93.00,1739.00,17.00,51.00,0.00,101.00
17-501904,3863,Title Only,0.00,48.00,597.00,18.00,19.00,0.00,25.00
17-501905,3863,Property Report / O&E - Title Only,1.00,41.00,501.00,6.00,11.00,0.00,11.00
17-501906,3860,Title & Sub Escrow,2.00,89.00,1964.00,28.00,55.00,0.00,67.00
2301-200907,3863,Title and Escrow,0.00,80.00,1471.00,16.00,35.00,0.00,29.00
17-501908,3863,Title & Full Escrow,0.00,75.00,1071.00,16.00,19.00,0.00,114.00
17-501909,3863,LCP - Title Only,1.00,40.00,542.00,4.00,11.00,0.00,25.00
17-501910,3863,Title & Sub-Escrow,1.00,54.00,799.00,20.00,20.00,0.00,77.00
17-501911,3863,LCP - Title Only,1.00,35.00,371.00,5.00,6.00,1.00,45.00
17-501912,3863,LCP - Title Only,1.00,39.00,632.00,4.00,17.00,0.00,14.00
17-501913,3860,Reverse Mortgage - Title Only,1.00,44.00,933.00,27.00,18.00,1.00,45.00
17-501914,3863,LCP & Sub-Escrow,1.00,50.00,672.00,4.00,11.00,0.00,77.00
2301-200910,3863,Title and Escrow,0.00,87.00,1808.00,18.00,56.00,0.00,59.00
17-501915,3863,Title Only,1.00,45.00,627.00,18.00,15.00,0.00,24.00
17-501916,3863,LCP - Title Only,7.00,33.00,397.00,18.00,4.00,0.00,197.00
17-501917,3863,LCP - Title Only,4.00,33.00,362.00,10.00,4.00,0.00,197.00
17-501918,3863,LCP - Title Only,6.00,33.00,369.00,12.00,4.00,0.00,197.00
2301-200911,3863,Title and Escrow,1.00,66.00,1293.00,18.00,48.00,0.00,91.00
17-501919,3863,LCP - Title Only,1.00,46.00,645.00,4.00,16.00,0.00,29.00
2301-200912,3863,Title Only,0.00,21.00,206.00,1.00,2.00,1.00,45.00
17-501920,3863,LCP - Title Only,2.00,45.00,661.00,6.00,13.00,0.00,38.00
17-501921,3863,Property Report / O&E - Title Only,1.00,41.00,470.00,7.00,11.00,0.00,17.00
17-501922,3863,Property Report / O&E - Title Only,3.00,28.00,331.00,9.00,4.00,0.00,172.00
17-501923,3860,Property Report / O&E - Title Only,1.00,42.00,544.00,4.00,13.00,0.00,49.00
17-501924,3863,Property Report / O&E - Title Only,1.00,43.00,522.00,6.00,11.00,0.00,31.00
17-501925,3860,Property Report / O&E & Full Escrow,2.00,73.00,898.00,7.00,25.00,0.00,44.00
17-501926,3863,Property Report / O&E - Title Only,1.00,42.00,643.00,6.00,11.00,0.00,60.00
17-501927,3863,Property Report / O&E - Title Only,1.00,46.00,580.00,6.00,12.00,0.00,21.00
2301-200913,3863,Title and Escrow,3.00,87.00,1752.00,19.00,75.00,0.00,29.00
17-501928,3860,Property Report / O&E - Title Only,1.00,44.00,573.00,4.00,13.00,0.00,59.00
2301-200915,3863,Title and Escrow,1.00,84.00,1382.00,16.00,54.00,0.00,31.00
2301-200916,3860,Title and Escrow,2.00,64.00,878.00,24.00,21.00,1.00,45.00
17-501930,3863,Title & Sub-Escrow,1.00,37.00,368.00,18.00,5.00,1.00,45.00
17-501931,3860,Title & Sub-Escrow,1.00,58.00,934.00,24.00,31.00,0.00,51.00
17-501933,3863,Title & Sub-Escrow,1.00,61.00,931.00,18.00,24.00,0.00,36.00
17-501934,3863,LCP - Title Only,1.00,52.00,746.00,4.00,20.00,0.00,22.00
17-501935,3860,Title Only,1.00,64.00,934.00,24.00,42.00,0.00,70.00
17-501936,3863,LCP - Title Only,1.00,45.00,597.00,4.00,10.00,0.00,30.00
17-501937,3863,Property Report / O&E - Title Only,1.00,38.00,522.00,6.00,12.00,0.00,28.00
2301-200918,3860,Title and Escrow,2.00,89.00,1478.00,28.00,47.00,0.00,34.00
17-501938,3863,Title & Full Escrow,0.00,69.00,1098.00,19.00,21.00,0.00,20.00
17-501939,3860,TSG - Trustee Sale Guarantee,1.00,56.00,885.00,18.00,24.00,0.00,76.00
2301-200919,3860,Title Only,1.00,68.00,1111.00,22.00,31.00,0.00,55.00
2301-200920,3863,Title and Escrow,0.00,78.00,1352.00,18.00,33.00,0.00,36.00
17-501941,3863,Title & Full Escrow,0.00,75.00,1089.00,17.00,19.00,0.00,77.00
17-501942,3860,Title & Sub-Escrow,2.00,43.00,574.00,25.00,14.00,1.00,45.00
17-501943,3863,LCP - Title Only,0.00,22.00,249.00,0.00,6.00,1.00,45.00
17-501944,3860,Property Report / O&E - Title Only,1.00,38.00,486.00,6.00,11.00,0.00,15.00
17-501945,3863,Title Only,1.00,33.00,377.00,18.00,4.00,1.00,45.00
2301-200923,3863,Title and Escrow,0.00,81.00,1623.00,18.00,42.00,0.00,38.00
2301-200925,3860,Title and Escrow,0.00,80.00,1282.00,20.00,36.00,0.00,35.00
17-501947,3863,Property Report / O&E - Title Only,1.00,27.00,300.00,6.00,4.00,0.00,171.00
17-501948,3863,LCP & Sub-Escrow,1.00,66.00,864.00,6.00,21.00,0.00,27.00
17-501949,3860,Property Report / O&E - Title Only,1.00,28.00,310.00,4.00,6.00,0.00,171.00
17-501950,3860,Property Report / O&E - Title Only,2.00,42.00,548.00,7.00,15.00,0.00,59.00
2301-200926,3860,Title and Escrow,1.00,84.00,1246.00,24.00,40.00,0.00,38.00
17-501951,3863,Title & Full Escrow,2.00,65.00,973.00,19.00,23.00,0.00,24.00
17-501952,3863,Property Report / O&E - Title Only,1.00,41.00,520.00,6.00,10.00,0.00,28.00
17-501953,3860,Property Report / O&E - Title Only,1.00,48.00,573.00,5.00,12.00,0.00,30.00
2301-200927,3860,Title and Escrow,1.00,79.00,1284.00,25.00,44.00,0.00,41.00
17-501955,3860,Reverse Mortgage - Title & Sub-Escrow,1.00,44.00,496.00,22.00,12.00,1.00,45.00
17-501957,3860,Property Report / O&E - Title Only,1.00,37.00,466.00,6.00,13.00,0.00,10.00
17-501958,3863,Title & Full Escrow,1.00,65.00,1160.00,17.00,29.00,0.00,42.00
2301-200928,3863,Title and Escrow,0.00,65.00,1028.00,17.00,25.00,0.00,34.00
17-501959,3860,Property Report / O&E - Title Only,1.00,43.00,535.00,4.00,15.00,0.00,44.00
17-501961,3860,Property Report / O&E - Title Only,1.00,32.00,317.00,5.00,3.00,0.00,171.00
17-501962,3863,LCP - Title Only,1.00,34.00,363.00,4.00,4.00,1.00,45.00
2301-200929,3863,Title and Escrow,1.00,84.00,1452.00,18.00,54.00,0.00,51.00
2301-200933,3863,Title and Escrow,2.00,65.00,676.00,31.00,11.00,1.00,45.00
2301-200934,3863,Title and Escrow,1.00,87.00,1426.00,17.00,53.00,0.00,127.00
17-501963,3860,Reverse Mortgage - Title & Sub-Escrow,0.00,78.00,1397.00,21.00,38.00,0.00,55.00
17-501964,3860,Title Only,1.00,76.00,897.00,13.00,30.00,0.00,77.00
17-501965,3863,Title Only,1.00,50.00,712.00,19.00,21.00,0.00,77.00
2301-200938,3860,Title and Escrow,1.00,73.00,1119.00,20.00,36.00,0.00,43.00
17-501966,3860,Title & Sub-Escrow,1.00,74.00,1226.00,22.00,45.00,0.00,107.00
17-501967,3863,LCP - Title Only,1.00,46.00,617.00,4.00,15.00,0.00,24.00
17-501969,3863,Title & Full Escrow,1.00,69.00,881.00,17.00,15.00,0.00,49.00
2301-200939,3860,Title and Escrow,5.00,65.00,591.00,25.00,14.00,1.00,45.00
17-501970,3863,Reverse Mortgage - Title Only,1.00,55.00,854.00,18.00,25.00,0.00,62.00
2301-200940,3860,Title and Escrow,1.00,83.00,1467.00,17.00,51.00,0.00,34.00
17-501971,3863,Title Only,0.00,27.00,300.00,1.00,6.00,1.00,45.00
2301-200942,3860,Title and Escrow,0.00,81.00,1165.00,19.00,35.00,0.00,41.00
17-501972,3860,Title Only,2.00,84.00,1446.00,34.00,58.00,0.00,98.00
17-501973,3863,Title & Sub-Escrow,2.00,60.00,990.00,22.00,27.00,0.00,24.00
2301-200943,3860,Title and Escrow,2.00,69.00,1140.00,25.00,38.00,0.00,76.00
2301-200944,3860,Title and Escrow,2.00,98.00,1879.00,25.00,76.00,0.00,78.00
2301-200945,3863,Title and Escrow,0.00,72.00,1097.00,28.00,26.00,0.00,28.00
17-501974,3863,Title & Sub-Escrow,1.00,38.00,383.00,19.00,4.00,1.00,45.00
2301-200946,3863,Title and Escrow,2.00,88.00,1443.00,20.00,42.00,0.00,29.00
17-501975,3863,Title & Full Escrow,0.00,36.00,319.00,1.00,5.00,1.00,45.00
17-501976,3863,Title & Full Escrow,2.00,74.00,966.00,20.00,18.00,0.00,41.00
17-501978,3863,Title & Full Escrow,1.00,77.00,931.00,31.00,14.00,0.00,44.00
2301-200948,3860,Title and Escrow,1.00,78.00,1331.00,19.00,35.00,0.00,27.00
17-501981,3863,Title & Full Escrow,1.00,69.00,811.00,21.00,14.00,0.00,29.00
17-501982,3863,LCP & Full Escrow,1.00,57.00,788.00,4.00,14.00,0.00,43.00
17-501983,3863,Title & Full Escrow,1.00,77.00,989.00,19.00,21.00,0.00,43.00
2301-200949,3863,Title and Escrow,3.00,54.00,510.00,6.00,5.00,1.00,45.00
17-501984,3863,Title Only,1.00,67.00,836.00,32.00,22.00,0.00,57.00
2301-200951,3860,Title and Escrow,0.00,82.00,1198.00,20.00,36.00,0.00,49.00
2301-200952,3860,Title and Escrow,0.00,98.00,1604.00,20.00,58.00,0.00,34.00
17-501985,3863,LCP - Title Only,1.00,46.00,608.00,4.00,13.00,0.00,28.00
17-501986,3863,Title Only,1.00,62.00,873.00,18.00,29.00,0.00,183.00
2301-200953,3860,Title and Escrow,0.00,89.00,1509.00,19.00,49.00,0.00,42.00
