sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2301-200698,3863,Reverse Mortgage,106425.0,0.0,77.0,46.96875000000000,1.21875000000000,0.0,32.0
2301-200699,3863,Reverse Mortgage,99360.0,1.0,93.0,39.93181818181820,1.47727272727273,0.0,44.0
2301-200700,3863,Reverse Mortgage,320000.0,2.0,75.0,19.17777777777780,0.86666666666667,1.0,45.0
17-501414,3863,Refinance,153600.0,2.0,81.0,19.92156862745100,0.39215686274510,0.0,51.0
17-501418,3863,Refinance,116500.0,1.0,91.0,15.72602739726030,0.32876712328767,0.0,73.0
17-501419,3863,Refinance,277500.0,1.0,64.0,19.48888888888890,0.31111111111111,0.0,45.0
17-501420,3863,Refinance,218080.0,1.0,49.0,3.15686274509804,0.07352941176471,0.0,204.0
17-501421,3860,Refinance,166500.0,1.0,69.0,32.58620689655170,0.68965517241379,0.0,29.0
2301-200701,3860,Reverse Mortgage,250000.0,0.0,37.0,6.37777777777778,0.13333333333333,1.0,45.0
17-501422,3863,Refinance,23000.0,2.0,62.0,13.86301369863010,0.21917808219178,0.0,73.0
2301-200702,3863,Reverse Mortgage,359662.5,1.0,68.0,39.80000000000000,1.26666666666667,0.0,30.0
17-501424,3863,Uninsured (Info Products),75000.0,1.0,38.0,32.06250000000000,0.56250000000000,0.0,16.0
2301-200704,3860,Reverse Mortgage,75000.0,0.0,45.0,6.91111111111111,0.15555555555556,1.0,45.0
2301-200705,3860,Reverse Mortgage,128900.0,1.0,57.0,19.24444444444440,0.37777777777778,1.0,45.0
2301-200706,3863,Reverse Mortgage,388435.5,2.0,74.0,37.22857142857140,1.14285714285714,0.0,35.0
17-501425,3863,Refinance,130000.0,2.0,32.0,8.44444444444444,0.11111111111111,1.0,45.0
17-501426,3863,Refinance,100.0,6.0,32.0,1.66210045662100,0.01826484018265,0.0,219.0
