sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-509196,In-House with Abstractor,Uninsured (Info Products),391250.00,2.00,38.00,12.85365854,0.292682927,0.00,41.00
17-511841,In-House without XML,Uninsured (Info Products),200000.00,2.00,32.00,13.94444444,0.25,0.00,36.00
17-509795,In-House without XML,Refinance,153000.00,1.00,50.00,20.61111111,0.296296296,0.00,54.00
17-508261,In-House without XML,Refinance,88000.00,0.00,62.00,9.483050847,0.186440678,0.00,118.00
17-509049,In-House without XML,Refinance,105000.00,1.00,89.00,26.86111111,0.416666667,0.00,36.00
2301-207701,In-House without XML,Reverse Mortgage,330770.00,1.00,72.00,35.29411765,1,0.00,34.00
17-514798,In-House without XML,Refinance,100000.00,1.00,31.00,16.20588235,0.264705882,0.00,34.00
17-500107,In-House without XML,Refinance,625500.00,2.00,85.00,28.34693878,0.918367347,0.00,49.00
2301-207691,In-House with Abstractor,Reverse Mortgage,61215.00,0.00,99.00,37.71052632,1.842105263,0.00,38.00
2301-204049,In-House with Abstractor,Reverse Mortgage,115455.00,0.00,78.00,47.95454545,1.681818182,0.00,22.00
2301-204401,In-House with Abstractor,Reverse Mortgage,107840.00,1.00,77.00,27.28571429,0.87755102,0.00,49.00
17-505295,In-House without XML,Refinance,226300.00,1.00,39.00,12.06666667,0.377777778,1.00,45.00
17-500682,In-House without XML,Refinance,49000.00,2.00,38.00,12.19148936,0.361702128,0.00,47.00
17-515102,In-House without XML,Refinance,15000.00,1.00,34.00,26.16,0.28,0.00,25.00
17-507332,In-House without XML,Refinance,275000.00,0.00,38.00,39.125,0.8125,0.00,16.00
17-503188,In-House with Abstractor,Uninsured (Info Products),130000.00,1.00,43.00,15.54054054,0.297297297,0.00,37.00
17-506686,In-House with Abstractor,Uninsured (Info Products),200000.00,1.00,40.00,10.34545455,0.254545455,0.00,55.00
17-514606,In-House without XML,Uninsured (Info Products),125000.00,0.00,13.00,4.466666667,0.111111111,1.00,45.00
2301-201330,In-House with Abstractor,Reverse Mortgage,6146.95,0.00,79.00,28.71428571,0.833333333,0.00,42.00
17-501834,In-House without XML,Refinance,50000.00,1.00,48.00,15.12765957,0.234042553,0.00,47.00
2301-205408,In-House without XML,Reverse Mortgage,105419.00,0.00,82.00,32.47619048,1.119047619,0.00,42.00
17-509745,In-House without XML,Refinance,25000.00,1.00,52.00,8.329545455,0.159090909,0.00,88.00
17-500963,In-House without XML,Uninsured (Info Products),10000.00,1.00,36.00,2.569892473,0.048387097,0.00,186.00
17-507562,In-House without XML,Refinance,188000.00,1.00,37.00,12.51111111,0.2,1.00,45.00
