nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2.00,513.00,10.00,1.00,45.00
1.00,634.00,15.00,0.00,28.00
1.00,858.00,26.00,0.00,35.00
1.00,801.00,13.00,0.00,32.00
1.00,1234.00,42.00,0.00,104.00
0.00,250.00,4.00,1.00,45.00
0.00,228.00,3.00,1.00,45.00
0.00,887.00,19.00,0.00,47.00
1.00,925.00,26.00,0.00,41.00
2.00,531.00,14.00,0.00,21.00
1.00,1515.00,29.00,0.00,35.00
1.00,682.00,8.00,0.00,56.00
2.00,369.00,4.00,1.00,45.00
1.00,519.00,8.00,0.00,17.00
1.00,589.00,18.00,0.00,42.00
0.00,1486.00,49.00,0.00,33.00
1.00,2436.00,83.00,0.00,130.00
1.00,517.00,7.00,1.00,45.00
2.00,1193.00,45.00,0.00,54.00
1.00,588.00,8.00,0.00,42.00
0.00,330.00,4.00,1.00,45.00
1.00,650.00,14.00,0.00,50.00
1.00,942.00,22.00,0.00,46.00
1.00,314.00,5.00,0.00,197.00
1.00,525.00,11.00,0.00,22.00
1.00,586.00,8.00,0.00,34.00
2.00,1185.00,37.00,0.00,49.00
2.00,1410.00,36.00,0.00,68.00
0.00,463.00,4.00,1.00,45.00
1.00,1054.00,25.00,0.00,38.00
2.00,459.00,7.00,1.00,45.00
2.00,713.00,21.00,0.00,49.00
1.00,1201.00,44.00,0.00,70.00
2.00,907.00,22.00,0.00,20.00
0.00,605.00,6.00,1.00,45.00
0.00,1372.00,31.00,0.00,46.00
0.00,782.00,18.00,0.00,47.00
3.00,1022.00,35.00,0.00,199.00
1.00,1834.00,38.00,0.00,31.00
2.00,917.00,27.00,0.00,31.00
2.00,441.00,5.00,1.00,45.00
1.00,369.00,6.00,0.00,196.00
1.00,330.00,4.00,1.00,45.00
1.00,486.00,8.00,1.00,45.00
2.00,362.00,4.00,0.00,196.00
1.00,424.00,5.00,0.00,196.00
2.00,575.00,11.00,0.00,70.00
2.00,845.00,16.00,0.00,47.00
1.00,1489.00,49.00,0.00,63.00
