sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-205632,3860,Title and Escrow,91683.00,90208.67,1474.33,2.00,77.00,1122.00,20.00,32.00,0.00,36.00
2301-205633,3863,Title and Escrow,335268.00,328000.00,7268.00,1.00,74.00,1280.00,17.00,47.00,0.00,24.00
17-511271,3863,LCP - Title Only,20000.00,132000.00,-112000.00,1.00,35.00,629.00,4.00,8.00,0.00,48.00
2301-205636,3863,Title and Escrow,300000.00,421200.00,-121200.00,1.00,61.00,954.00,15.00,32.00,0.00,37.00
2301-205637,3863,Title and Escrow,206304.00,249999.00,-43695.00,1.00,70.00,1291.00,17.00,47.00,0.00,24.00
2301-205638,3860,Title and Escrow,120310.00,0.00,120310.00,0.00,86.00,1263.00,19.00,48.00,0.00,45.00
17-511272,3863,LCP - Title Only,30760.00,156900.00,-126140.00,1.00,34.00,650.00,4.00,7.00,0.00,52.00
2301-205639,3863,Title and Escrow,625500.00,448600.00,176900.00,2.00,77.00,1498.00,20.00,63.00,0.00,34.00
17-511273,3863,Title Only,104000.00,65000.00,39000.00,1.00,43.00,728.00,17.00,18.00,0.00,62.00
17-511275,3863,Title & Full Escrow,280000.00,310230.00,-30230.00,1.00,58.00,761.00,16.00,11.00,0.00,22.00
17-511277,3860,Title & Sub-Escrow,274400.00,282843.00,-8443.00,1.00,58.00,819.00,20.00,24.00,0.00,38.00
17-511279,3862,Title & Full Escrow,200000.00,232000.00,-32000.00,2.00,70.00,1276.00,22.00,36.00,0.00,36.00
17-511281,3863,LCP - Title Only,30000.00,229837.00,-199837.00,1.00,33.00,525.00,4.00,11.00,0.00,28.00
2301-205641,3863,Title and Escrow,76032.00,0.00,76032.00,0.00,76.00,1299.00,5.00,36.00,0.00,51.00
17-511282,3863,Title & Full Escrow,117000.00,130000.00,-13000.00,1.00,68.00,948.00,19.00,18.00,0.00,57.00
2301-205649,3863,Title and Escrow,600000.00,328000.00,272000.00,1.00,58.00,604.00,18.00,14.00,1.00,45.00
2301-205650,3863,Title and Escrow,162432.00,196500.00,-34068.00,1.00,62.00,988.00,16.00,35.00,0.00,50.00
2301-205651,3863,Title and Escrow,343399.50,281000.00,62399.50,2.00,63.00,1196.00,19.00,46.00,0.00,64.00
17-511284,3863,Title & Full Escrow,125750.00,135000.00,-9250.00,1.00,58.00,906.00,17.00,12.00,0.00,43.00
2301-205652,3863,Title and Escrow,196700.00,150000.00,46700.00,1.00,80.00,1231.00,17.00,45.00,0.00,72.00
17-511285,3862,Title & Full Escrow,873000.00,942750.00,-69750.00,3.00,64.00,1196.00,22.00,26.00,0.00,51.00
2301-205653,3860,Title and Escrow,128940.00,69000.00,59940.00,1.00,82.00,1204.00,18.00,46.00,0.00,30.00
2301-205654,3860,Title and Escrow,39528.00,30000.00,9528.00,1.00,76.00,1253.00,24.00,38.00,0.00,41.00
17-511286,3863,Title & Sub-Escrow,200000.00,353154.00,-153154.00,2.00,59.00,939.00,19.00,11.00,0.00,55.00
2301-205655,3863,Title and Escrow,625500.00,0.00,625500.00,0.00,47.00,424.00,17.00,7.00,1.00,45.00
2301-205656,3860,Title and Escrow,115000.00,56000.00,59000.00,1.00,51.00,543.00,19.00,12.00,1.00,45.00
2301-205657,3863,Title and Escrow,279990.00,0.00,279990.00,0.00,66.00,1219.00,16.00,36.00,0.00,48.00
2301-205658,3863,Title and Escrow,331500.00,293535.51,37964.49,2.00,71.00,1170.00,17.00,42.00,0.00,36.00
2301-205659,3860,Title and Escrow,42818.00,0.00,42818.00,0.00,78.00,1105.00,17.00,36.00,0.00,57.00
2301-205660,3863,Title and Escrow,265000.00,135000.00,130000.00,1.00,64.00,861.00,31.00,32.00,1.00,45.00
2301-205662,3860,Title and Escrow,56870.00,0.00,56870.00,0.00,81.00,1322.00,20.00,39.00,0.00,22.00
17-511287,3860,TSG - Trustee Sale Guarantee,1200000.00,2050000.00,-850000.00,2.00,25.00,534.00,15.00,14.00,0.00,0.00
2301-205663,3863,Title and Escrow,357408.00,0.00,357408.00,0.00,76.00,1172.00,16.00,35.00,0.00,35.00
2301-205665,3863,Title and Escrow,80620.00,0.00,80620.00,0.00,77.00,1139.00,17.00,42.00,0.00,48.00
17-511289,3863,LCP & Sub-Escrow,30000.00,236800.00,-206800.00,2.00,50.00,854.00,6.00,30.00,0.00,71.00
17-511291,3863,TSG - Trustee Sale Guarantee,85122.58,91822.39,-6699.81,2.00,10.00,414.00,8.00,5.00,0.00,0.00
17-511293,3863,Title Only,312000.00,417000.00,-105000.00,1.00,40.00,679.00,16.00,8.00,0.00,40.00
17-511294,3863,Title & Full Escrow,400000.00,381000.00,19000.00,1.00,69.00,819.00,17.00,14.00,0.00,47.00
17-511295,3860,Title & Sub-Escrow,382292.00,0.00,382292.00,0.00,68.00,1167.00,19.00,30.00,0.00,16.00
17-511296,3863,Title & Full Escrow,248500.00,257800.00,-9300.00,1.00,51.00,823.00,16.00,13.00,0.00,23.00
17-511297,3860,Title Only,75000.00,293000.00,-218000.00,1.00,65.00,843.00,21.00,22.00,0.00,55.00
2301-205670,3860,Title and Escrow,316503.00,120000.00,196503.00,1.00,88.00,1561.00,20.00,60.00,0.00,54.00
2301-205671,3863,Title and Escrow,191000.00,106000.00,85000.00,2.00,51.00,474.00,28.00,12.00,1.00,45.00
17-511304,3863,LCP - Title Only,75000.00,0.00,75000.00,0.00,20.00,206.00,0.00,2.00,1.00,45.00
17-511305,3863,Title Only,76000.00,68750.00,7250.00,1.00,74.00,1100.00,26.00,29.00,0.00,72.00
17-511307,3863,Title Only,176000.00,120000.00,56000.00,1.00,48.00,659.00,19.00,16.00,0.00,50.00
2301-205675,3863,Title and Escrow,90576.00,100000.00,-9424.00,1.00,84.00,1696.00,30.00,53.00,0.00,42.00
